序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,688211,中科微至,45.88,15.05,6.0,47709,214273774.0,14.12,46.43,40.8,40.95,39.88,7.44,47.67,1.68
2,601333,广深铁路,2.72,10.12,0.25,1267908,343561416.0,4.05,2.72,2.62,2.7,2.47,2.24,11.89,0.75
3,000557,西部创业,5.92,10.04,0.54,449465,258777089.26,10.04,5.92,5.38,5.42,5.38,3.08,27.2,1.52
4,603329,上海雅仕,14.69,6.45,0.89,42155,60382791.0,10.22,14.9,13.49,13.51,13.8,2.66,-74.42,2.07
5,600787,中储股份,6.05,5.4,0.31,475488,283264637.0,6.27,6.1,5.74,5.76,5.74,2.19,37.56,1.01
6,300013,新宁物流,3.91,4.55,0.17,101984,39544737.5,4.81,3.92,3.74,3.74,3.74,2.29,-47.27,168.38
7,603813,XD原尚股,14.02,4.32,0.58,8233,11444429.0,3.94,14.05,13.52,13.78,13.44,0.93,-61.33,2.25
8,600125,铁龙物流,6.24,4.17,0.25,479417,295295371.0,4.17,6.25,6.0,6.01,5.99,3.67,11.84,1.19
9,300350,华鹏飞,4.49,3.94,0.17,76122,33775111.8,4.4,4.51,4.32,4.36,4.32,1.63,-616.47,3.16
10,603066,音飞储存,10.66,3.8,0.39,49735,52433818.0,4.19,10.71,10.28,10.28,10.27,1.65,16.86,2.45
11,002769,普路通,8.84,3.63,0.31,41614,36100102.0,4.45,8.84,8.46,8.49,8.53,1.25,-69.05,2.42
12,603871,嘉友国际,28.0,3.59,0.97,47076,128928471.0,6.1,28.1,26.45,27.02,27.03,0.94,17.31,3.27
13,601816,京沪高铁,5.43,3.43,0.18,2799647,1506650870.0,3.05,5.45,5.29,5.32,5.25,0.57,29.95,1.43
14,001202,炬申股份,14.25,3.34,0.46,13369,18933492.0,3.41,14.26,13.79,13.79,13.79,3.32,43.24,2.6
15,000927,中国铁物,3.1,3.33,0.1,660510,202604906.45,4.0,3.11,2.99,3.0,3.0,1.48,26.3,2.18
16,002468,申通快递,10.73,3.17,0.33,75369,79905606.12,3.17,10.73,10.4,10.4,10.4,0.51,30.9,1.99
17,601598,中国外运,4.57,3.16,0.14,411270,185945449.0,3.84,4.6,4.43,4.45,4.43,0.78,8.67,0.93
18,002930,宏川智慧,21.6,3.15,0.66,25425,55189082.83,5.21,22.09,21.0,21.0,20.94,0.59,35.49,4.24
19,001317,三羊马,35.82,3.14,1.09,14435,51272197.0,3.63,35.97,34.71,34.74,34.73,4.87,91.15,3.56
20,300240,飞力达,6.33,3.09,0.19,28450,17824089.36,3.91,6.35,6.11,6.14,6.14,0.78,-42.56,1.6
21,600119,长江投资,6.03,2.73,0.16,27208,16308795.0,2.9,6.05,5.88,5.88,5.87,0.89,-138.06,11.4
22,300873,海晨股份,23.7,2.64,0.61,15278,35848557.43,2.17,23.73,23.23,23.29,23.09,1.42,23.07,2.03
23,600180,瑞茂通,6.02,2.38,0.14,62996,37601043.0,3.06,6.04,5.86,5.94,5.88,0.6,7.78,0.83
24,001213,中铁特货,4.77,2.36,0.11,497147,235073189.74,3.22,4.81,4.66,4.66,4.66,4.76,38.35,1.15
25,603648,畅联股份,8.72,2.23,0.19,31021,26786002.0,3.05,8.74,8.48,8.49,8.53,0.86,17.01,1.69
26,600794,保税科技,3.75,2.18,0.08,88425,32905234.0,2.72,3.77,3.67,3.68,3.67,0.73,17.29,1.89
27,002492,恒基达鑫,6.1,2.18,0.13,48168,29238361.0,3.02,6.12,5.94,6.0,5.97,1.21,24.03,1.49
28,601156,东航物流,14.49,2.11,0.3,54336,78115319.0,1.76,14.5,14.25,14.25,14.19,0.68,7.56,1.61
29,002682,龙洲股份,4.1,1.99,0.08,99359,40641676.3,2.49,4.12,4.02,4.04,4.02,1.77,-14.88,1.27
30,002210,飞马国际,2.2,1.85,0.04,155742,34183775.88,1.85,2.21,2.17,2.17,2.16,0.59,2553.17,21.94
31,600575,淮河能源,2.43,1.67,0.04,161091,38725126.0,2.51,2.43,2.37,2.38,2.39,0.41,14.29,0.91
32,002183,怡 亚 通,5.48,1.67,0.09,160094,87159151.92,2.78,5.48,5.33,5.34,5.39,0.62,118.28,1.6
33,002889,东方嘉盛,23.78,1.67,0.39,8458,19982829.0,2.09,23.79,23.3,23.48,23.39,0.94,13.72,1.54
34,002010,传化智联,5.52,1.66,0.09,146964,80820705.51,1.66,5.53,5.44,5.45,5.43,0.54,21.91,0.88
35,002120,韵达股份,12.14,1.59,0.19,281303,340596065.29,3.6,12.3,11.87,11.96,11.95,1.0,24.56,2.03
36,603967,中创物流,9.72,1.57,0.15,12958,12503918.0,1.99,9.72,9.53,9.58,9.57,0.37,15.77,1.5
37,603569,长久物流,8.68,1.52,0.13,15660,13531521.0,1.52,8.69,8.56,8.6,8.55,0.28,93.8,2.22
38,603535,嘉诚国际,17.02,1.19,0.2,6162,10424628.0,2.02,17.05,16.71,16.99,16.82,0.28,23.08,1.79
39,001331,胜通能源,25.7,0.63,0.16,7429,19067459.0,1.8,25.83,25.37,25.5,25.54,2.48,203.25,1.94
40,600179,安通控股,3.26,0.62,0.02,163996,53197661.0,1.23,3.26,3.22,3.24,3.24,0.45,41.77,1.43
41,600057,厦门象屿,10.66,0.38,0.04,92474,98252079.0,1.98,10.73,10.52,10.65,10.62,0.43,11.04,1.57
42,872351,华光源海,5.42,0.37,0.02,1525,822483.2,0.74,5.42,5.38,5.42,5.4,0.45,12.05,1.06
43,603836,海程邦达,15.45,0.32,0.05,19258,29083069.0,6.17,15.6,14.65,14.89,15.4,2.25,26.16,1.78
44,900914,锦在线B,0.657,0.15,0.001,1594,104615.0,1.22,0.659,0.651,0.658,0.656,0.1,42.43,0.64
45,605050,福然德,12.5,-0.16,-0.02,9645,12021473.0,1.84,12.62,12.39,12.57,12.52,0.64,18.05,1.53
46,603128,华贸物流,9.98,-0.2,-0.02,77453,77120126.0,2.0,10.09,9.89,9.99,10.0,0.59,14.78,2.17
47,603223,恒通股份,20.03,-0.3,-0.06,8612,17228709.0,1.29,20.19,19.93,20.16,20.09,0.22,89.62,2.76
48,600704,物产中大,5.45,-0.37,-0.02,665982,362519254.0,2.19,5.52,5.4,5.52,5.47,1.32,7.31,0.86
49,601006,大秦铁路,7.7,-0.52,-0.04,370069,285201952.0,1.68,7.77,7.64,7.76,7.74,0.25,7.83,0.89
50,600233,圆通速递,17.3,-0.52,-0.09,133813,231110904.0,1.73,17.48,17.18,17.39,17.39,0.39,16.43,2.16
51,603056,德邦股份,16.78,-0.53,-0.09,41409,68960697.0,2.79,16.97,16.5,16.81,16.87,0.43,59.31,2.46
52,603117,ST万林,3.2,-0.93,-0.03,47971,15686046.0,6.19,3.39,3.19,3.26,3.23,0.76,-3599.34,1.47
53,001228,永泰运,41.05,-1.39,-0.58,10238,42284945.34,2.74,42.15,41.01,41.65,41.63,3.94,28.01,2.55
54,002352,顺丰控股,56.45,-1.48,-0.85,153159,868671353.13,2.23,57.49,56.21,57.0,57.3,0.32,40.16,3.15
55,200152,*ST山航B,2.94,-2.97,-0.09,11366,3317661.2,3.3,2.98,2.88,2.88,3.03,0.81,-0.55,-0.12
56,002800,ST天顺,20.27,-5.01,-1.07,372,754044.0,0.0,20.27,20.27,20.27,21.34,0.04,916.39,3.95
57,603713,密尔克卫,92.4,-5.91,-5.8,31570,297665559.0,6.13,98.07,92.05,95.8,98.2,1.93,35.35,3.95
