序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,002717,岭南股份,3.41,6.23,0.2,764277.0,256166553.8,6.23,3.42,3.22,3.22,3.21,5.27,-28.34,1.81
2,300800,力合科技,12.89,5.57,0.68,23055.0,29123171.5,6.47,12.91,12.12,12.3,12.21,1.37,67.65,1.49
3,300334,津膜科技,7.1,5.5,0.37,68452.0,47917884.0,5.5,7.13,6.76,6.78,6.73,2.27,-302.78,3.66
4,300266,兴源环境,3.6,5.26,0.18,489916.0,173469475.22,7.6,3.62,3.36,3.37,3.42,3.15,-17.59,4.54
5,300948,冠中生态,13.34,5.04,0.64,17511.0,23000088.6,3.86,13.36,12.87,12.93,12.7,2.51,69.55,2.2
6,300140,中环装备,8.25,4.56,0.36,192689.0,156534609.94,7.86,8.37,7.75,7.82,7.89,4.55,-8293.03,2.66
7,300190,维尔利,4.06,4.37,0.17,59020.0,23663911.3,4.88,4.07,3.88,3.88,3.89,0.76,73.92,0.83
8,301049,超越科技,19.59,4.37,0.82,7359.0,14235755.4,8.42,19.69,18.11,18.92,18.77,2.87,-44.95,2.1
9,300388,节能国祯,7.05,4.29,0.29,72290.0,50353994.21,5.77,7.08,6.69,6.74,6.76,1.04,22.49,1.25
10,300210,森远股份,2.92,4.29,0.12,69642.0,20069457.0,5.36,2.94,2.79,2.8,2.8,1.44,-73.87,2.45
11,300786,国林科技,17.97,4.11,0.71,73572.0,131106853.0,7.07,18.28,17.06,17.28,17.26,5.37,551.17,2.64
12,603603,*ST博天,3.46,3.9,0.13,158631.0,53883841.0,9.61,3.5,3.18,3.2,3.33,1.94,81.12,1.99
13,300262,巴安水务,2.69,3.86,0.1,73083.0,19554469.0,5.02,2.71,2.58,2.59,2.59,1.09,-92.27,10.2
14,300152,新动力,2.97,3.85,0.11,114803.0,33808473.08,5.94,3.0,2.83,2.84,2.86,1.61,-847.25,5.33
15,300961,深水海纳,10.66,3.7,0.38,76355.0,81069681.36,4.96,10.78,10.27,10.31,10.28,6.21,-68.68,1.83
16,688101,三达膜,13.33,3.65,0.47,16023.0,21159304.0,5.52,13.37,12.66,12.69,12.86,0.48,22.66,1.24
17,688178,万德斯,18.25,3.58,0.63,3071.0,5536669.0,3.63,18.25,17.61,17.72,17.62,0.36,160.34,1.27
18,300197,节能铁汉,2.61,3.57,0.09,617479.0,159966338.13,5.56,2.64,2.5,2.54,2.52,3.1,93.47,1.33
19,688701,卓锦股份,8.56,3.51,0.29,11856.0,10166265.0,6.41,8.78,8.25,8.25,8.27,1.76,-24.31,2.95
20,300137,先河环保,5.84,3.36,0.19,54832.0,31744895.9,3.89,5.87,5.65,5.65,5.65,1.17,110.39,1.67
21,688370,丛麟科技,36.78,3.34,1.19,5800.0,21329020.0,3.29,37.37,36.2,36.45,35.59,2.34,27.05,1.35
22,300899,上海凯鑫,22.1,3.32,0.71,9497.0,20750473.0,4.16,22.14,21.25,21.43,21.39,2.98,153.3,2.13
