序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,600586,金晶科技,8.28,6.29,0.49,438860,358127636.0,6.8,8.33,7.8,7.81,7.79,3.07,33.66,2.17
2,301051,信濠光电,77.5,4.39,3.26,18316,139898739.5,5.7,77.89,73.66,74.47,74.24,4.36,-161.04,2.41
3,600819,耀皮玻璃,5.41,4.04,0.21,107864,57656870.0,4.42,5.43,5.2,5.2,5.2,1.44,-19.22,1.47
4,603021,山东华鹏,5.4,3.05,0.16,29163,15594242.0,3.82,5.4,5.2,5.2,5.24,0.91,-9.35,3.62
5,002613,北玻股份,4.67,2.86,0.13,102596,47563802.91,2.86,4.68,4.55,4.56,4.54,1.77,37.19,2.64
6,600176,中国巨石,14.58,2.46,0.35,235136,340608869.0,3.23,14.63,14.17,14.18,14.23,0.59,15.84,2.05
7,002201,正威新材,10.23,2.3,0.23,47093,47632207.6,3.5,10.25,9.9,9.91,10.0,0.72,200.0,6.33
8,301188,力诺特玻,19.19,1.64,0.31,21018,39643817.66,4.61,19.34,18.47,18.8,18.88,1.39,48.64,3.07
9,603601,再升科技,4.47,1.59,0.07,125384,56067608.0,2.95,4.52,4.39,4.39,4.4,1.23,34.31,2.13
10,002163,海南发展,11.34,0.98,0.11,56326,63607068.19,1.69,11.38,11.19,11.22,11.23,0.7,-70.33,7.31
11,603256,宏和科技,7.33,0.96,0.07,20951,15240495.0,4.27,7.37,7.06,7.16,7.26,0.24,-430.23,4.31
12,000012,南  玻Ａ,6.57,0.92,0.06,203887,133209168.38,1.08,6.57,6.5,6.52,6.51,1.04,12.72,1.52
13,600876,凯盛新能,18.25,0.88,0.16,26345,48121109.0,2.16,18.39,18.0,18.0,18.09,0.69,236.69,2.78
14,605006,山东玻纤,8.06,0.75,0.06,14838,11908190.0,1.13,8.06,7.97,8.0,8.0,0.52,13.66,1.71
15,002080,中材科技,21.1,0.62,0.13,92861,196070566.35,2.1,21.34,20.9,20.91,20.97,0.55,21.15,2.0
16,601636,旗滨集团,10.27,0.49,0.05,394036,400927272.0,3.42,10.31,9.96,10.2,10.22,1.47,61.16,2.21
17,900918,耀皮Ｂ股,0.381,0.0,0.0,1360,51620.0,1.84,0.384,0.377,0.381,0.381,0.07,-9.3,0.71
18,200012,南  玻Ｂ,3.0,0.0,0.0,11846,3536829.09,1.0,3.0,2.97,2.98,3.0,0.11,5.09,0.61
19,601865,福莱特,30.63,-0.16,-0.05,34712,106324038.0,2.15,31.03,30.37,30.68,30.68,0.2,32.14,4.68
20,600660,福耀玻璃,33.95,-0.26,-0.09,84094,286561937.0,1.44,34.34,33.85,34.08,34.04,0.42,24.22,2.97
21,300093,金刚光伏,31.75,-1.03,-0.33,25402,81225108.0,5.05,32.67,31.05,31.42,32.08,1.18,-39.7,-440.43
22,835179,凯德石英,23.23,-4.91,-1.2,10782,25499151.43,7.33,24.4,22.61,24.29,24.43,2.46,34.47,2.58
23,300196,长海股份,13.88,-5.26,-0.77,72515,100457766.37,3.55,14.18,13.66,14.18,14.65,2.94,17.43,1.34
