序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,600612,老凤祥,67.32,10.0,6.12,13340,89803736.0,0.0,67.32,67.32,67.32,61.2,0.42,12.3,3.25
2,002345,潮宏基,7.7,9.84,0.69,234153,175925192.63,9.42,7.71,7.05,7.06,7.01,2.7,13.79,1.86
3,002574,明牌珠宝,6.63,5.41,0.34,73936,48395849.64,4.93,6.67,6.36,6.36,6.29,1.4,19.12,1.18
4,002867,周大生,16.92,4.9,0.79,162928,273132274.17,6.08,17.1,16.12,16.12,16.13,1.5,12.69,2.89
5,900905,老凤祥Ｂ,3.55,4.72,0.16,27472,9737017.0,2.45,3.569,3.486,3.555,3.39,1.33,4.46,1.18
6,002740,ST爱迪尔,3.33,4.06,0.13,115708,38163585.0,4.69,3.36,3.21,3.23,3.2,2.86,-8.28,-2.46
7,002356,赫美集团,5.05,3.27,0.16,45256,22559218.2,4.29,5.07,4.86,4.88,4.89,0.35,444.05,10.76
8,002721,金一文化,3.31,2.8,0.09,107361,35271423.12,4.35,3.34,3.2,3.2,3.22,1.12,-4.83,-0.96
9,002731,萃华珠宝,13.62,2.48,0.33,13666,18434919.5,3.09,13.68,13.27,13.4,13.29,0.57,23.95,2.54
10,300945,曼卡龙,13.84,2.37,0.32,37817,51892673.96,4.22,13.93,13.36,13.52,13.52,4.94,26.6,3.38
11,603900,莱绅通灵,6.41,1.58,0.1,30928,19664040.0,2.22,6.41,6.27,6.3,6.31,0.91,34.89,1.0
12,600916,中国黄金,12.08,1.34,0.16,156537,188150966.0,2.77,12.14,11.81,11.89,11.92,1.9,16.91,2.81
13,000026,飞亚达,11.76,1.2,0.14,58711,68828347.62,2.15,11.83,11.58,11.6,11.62,1.62,11.9,1.51
14,600655,豫园股份,8.0,1.14,0.09,151066,120625503.0,2.4,8.08,7.89,7.89,7.91,0.39,23.22,0.87
15,200026,飞亚达Ｂ,7.63,0.13,0.01,912,694561.0,1.84,7.66,7.52,7.58,7.62,0.18,6.76,0.86
16,605599,菜百股份,12.33,-1.83,-0.23,104144,127971608.0,4.78,12.65,12.05,12.62,12.56,1.78,10.22,2.62
17,301177,迪阿股份,42.28,-4.52,-2.0,31691,130799662.24,5.06,42.35,40.11,41.01,44.28,7.92,41.89,2.45
