序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,688177,百奥泰,29.11,11.28,2.95,39030,109559022.0,14.6,29.83,26.01,26.01,26.16,0.94,-21.13,8.23
2,688319,欧林生物,20.68,6.43,1.25,30546,62111393.0,9.37,20.99,19.17,19.43,19.43,1.07,543.7,9.48
3,002252,上海莱士,6.57,4.78,0.3,940588,613652040.06,4.94,6.69,6.38,6.58,6.27,1.4,15.41,1.51
4,688382,益方生物-U,21.69,4.68,0.97,45301,96875417.0,8.45,22.07,20.32,21.0,20.72,4.29,-26.45,5.9
5,688193,仁度生物,44.67,4.61,1.97,3165,13911636.0,5.04,44.85,42.7,42.7,42.7,1.06,-69.88,1.87
6,688302,海创药业-U,74.97,4.46,3.2,12192,90016045.0,9.59,76.88,70.0,71.51,71.77,5.13,-24.62,4.85
7,002581,未名医药,19.5,4.39,0.82,121877,236109719.38,6.16,19.8,18.65,18.8,18.68,3.04,-149.55,5.47
8,688180,君实生物-U,52.78,3.75,1.91,65150,338068797.0,7.98,53.58,49.52,50.98,50.87,1.51,-23.93,5.81
9,603087,甘李药业,36.98,3.7,1.32,70049,258579795.0,3.06,37.49,36.4,36.66,35.66,2.36,106.24,2.17
10,688506,百利天恒-U,101.37,3.38,3.31,19472,195615530.0,11.39,106.5,95.33,98.0,98.06,5.89,-60.91,53.22
11,301230,泓博医药,58.83,3.25,1.85,17598,101249222.95,5.42,59.06,55.97,56.08,56.98,10.71,74.01,4.0
12,688137,近岸蛋白,66.03,3.17,2.03,7627,50140104.0,5.61,67.2,63.61,63.61,64.0,4.49,103.98,2.09
13,430047,诺思兰德,13.5,3.13,0.41,1722,2288366.3,3.06,13.53,13.13,13.2,13.09,0.09,-55.57,18.7
14,688253,英诺特,27.09,2.57,0.68,27998,73923192.0,5.57,27.11,25.64,26.47,26.41,9.37,17.12,2.11
15,000534,万泽股份,16.83,2.5,0.41,80144,134934930.63,4.32,17.14,16.43,16.43,16.42,1.62,36.14,6.57
16,688235,百济神州-U,159.65,2.23,3.49,21269,342357445.0,5.17,165.0,156.92,158.44,156.16,1.93,-15.89,7.15
17,301047,义翘神州,102.86,1.94,1.96,6012,61241451.62,3.13,103.49,100.33,100.55,100.9,1.03,39.7,2.06
18,688163,赛伦生物,22.99,1.73,0.39,3930,8983178.0,2.21,23.05,22.55,22.61,22.6,0.92,206.29,2.21
19,688176,亚虹医药-U,16.65,1.52,0.25,48449,79543021.0,4.21,16.72,16.03,16.35,16.4,2.07,-37.7,3.5
20,000518,四环生物,2.85,1.42,0.04,60964,17250361.44,2.14,2.85,2.79,2.81,2.81,0.59,-38.69,5.45
21,688520,神州细胞-U,69.5,1.25,0.86,11565,80401684.0,4.47,70.8,67.73,68.36,68.64,1.26,-50.57,-80.93
22,300683,海特生物,35.22,0.92,0.32,4623,16255619.2,2.21,35.45,34.68,35.05,34.9,0.41,-782.96,1.77
23,688136,科兴制药,21.02,0.91,0.19,14274,30104411.0,3.02,21.31,20.68,20.9,20.83,2.13,-119.11,2.32
24,002007,华兰生物,23.28,0.87,0.2,119111,276409355.34,2.82,23.5,22.85,23.08,23.08,0.76,30.19,3.95
