序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,600212,绿能慧充,9.59,6.32,0.57,264983,248675403.0,7.65,9.66,8.97,8.97,9.02,5.18,-1763.31,35.91
2,002015,协鑫能科,14.23,6.19,0.83,584220,807085630.25,7.99,14.35,13.28,13.36,13.4,3.6,17.75,2.19
3,600719,大连热电,4.64,3.57,0.16,28810,13168342.0,5.13,4.65,4.42,4.42,4.48,0.71,-9.33,4.78
4,600396,*ST金山,2.12,3.41,0.07,496112,104308059.0,5.85,2.15,2.03,2.11,2.05,3.37,-3.08,-1.53
5,605028,世茂能源,16.74,3.4,0.55,7706,12771826.0,4.2,16.77,16.09,16.09,16.19,1.93,16.51,2.33
6,605580,恒盛能源,14.35,3.24,0.45,13231,18786664.0,3.81,14.36,13.83,13.9,13.9,2.59,25.89,3.62
7,600868,梅雁吉祥,2.77,2.97,0.08,166527,45710382.0,2.97,2.77,2.69,2.69,2.69,0.88,158.61,2.18
8,000993,闽东电力,9.59,2.68,0.25,34224,32536380.26,3.1,9.61,9.32,9.35,9.34,0.78,51.09,1.96
9,600979,广安爱众,3.23,2.54,0.08,121985,38983018.0,2.86,3.23,3.14,3.14,3.15,0.99,497.57,0.94
10,000875,吉电股份,5.45,2.44,0.13,373008,203409768.71,3.38,5.52,5.34,5.35,5.32,1.53,7.56,1.3
11,601908,京运通,6.29,2.44,0.15,412280,262128848.0,3.75,6.49,6.26,6.34,6.14,1.71,12.52,1.32
12,002616,长青集团,5.09,2.41,0.12,48835,24636172.0,3.42,5.1,4.93,4.97,4.97,1.04,58.64,1.59
13,000899,赣能股份,8.29,2.09,0.17,76692,63154377.38,2.22,8.3,8.12,8.16,8.12,0.79,364.18,1.73
14,001896,豫能控股,4.43,2.07,0.09,75666,33230005.42,2.76,4.44,4.32,4.37,4.34,0.57,-4.03,2.02
15,600505,西昌电力,7.96,2.05,0.16,41711,33104883.0,3.08,8.01,7.77,7.89,7.8,1.14,-20.77,2.35
16,600969,郴电国际,7.03,2.03,0.14,55240,38528724.0,2.76,7.04,6.85,6.85,6.89,1.49,33.31,0.71
17,601985,中国核电,6.9,1.92,0.13,1023623,700897544.0,2.51,6.9,6.73,6.79,6.77,0.54,10.77,1.52
18,000037,深南电A,7.39,1.79,0.13,21005,15392004.86,2.48,7.4,7.22,7.23,7.26,0.62,-35.75,3.13
19,600744,华银电力,4.11,1.73,0.07,91308,37216849.0,2.23,4.12,4.03,4.05,4.04,1.1,-19.78,6.43
20,000722,湖南发展,11.1,1.56,0.17,42581,46967896.16,2.29,11.14,10.89,10.91,10.93,0.92,335.73,1.64
21,000040,东旭蓝天,4.15,1.47,0.06,330790,137530196.35,3.18,4.24,4.11,4.16,4.09,3.12,95.1,0.55
22,000027,深圳能源,6.42,1.42,0.09,229865,146459534.91,2.05,6.42,6.29,6.32,6.33,0.48,12.04,1.06
23,600101,明星电力,8.8,1.27,0.11,70841,61918967.0,2.3,8.8,8.6,8.68,8.69,1.68,16.0,1.36
24,600509,天富能源,6.71,1.21,0.08,138504,92651596.0,2.56,6.74,6.57,6.61,6.63,1.2,15.14,1.33
25,600644,乐山电力,6.93,1.17,0.08,32459,22382423.0,2.04,6.94,6.8,6.84,6.85,0.6,-93.53,2.09
26,600780,通宝能源,8.52,1.07,0.09,127918,107937721.0,4.15,8.63,8.28,8.37,8.43,1.12,10.28,1.42
27,000600,建投能源,5.97,1.02,0.06,242410,143845402.94,2.88,6.0,5.83,5.94,5.91,2.22,-18.96,1.11
28,600310,桂东电力,3.04,1.0,0.03,122116,36990479.0,1.99,3.05,2.99,3.0,3.01,1.0,33.34,1.43
29,000155,川能动力,14.64,0.97,0.14,126121,184416013.05,2.76,14.85,14.45,14.63,14.5,0.97,19.55,3.83
30,900957,凌云Ｂ股,0.525,0.96,0.005,1241,64496.0,1.54,0.525,0.517,0.517,0.52,0.07,36.09,2.19
31,600163,中闽能源,5.28,0.96,0.05,84857,44595355.0,1.34,5.29,5.22,5.23,5.23,0.74,9.19,1.66
32,000862,银星能源,7.41,0.95,0.07,338435,247502586.34,3.54,7.42,7.16,7.33,7.34,6.75,24.66,1.78
33,600982,宁波能源,4.27,0.95,0.04,76992,32730231.0,1.89,4.28,4.2,4.21,4.23,0.7,119.3,1.18
34,600905,三峡能源,5.42,0.93,0.05,829173,447481538.0,1.49,5.44,5.36,5.37,5.37,0.61,15.94,1.96
35,200037,深南电B,2.24,0.9,0.02,655,146198.0,0.9,2.24,2.22,2.24,2.22,0.02,-9.49,0.83
36,000537,广宇发展,11.67,0.69,0.08,84248,97800522.49,2.24,11.73,11.47,11.66,11.59,0.45,23.16,1.31
37,000601,韶能股份,4.49,0.67,0.03,37818,16930654.0,1.79,4.51,4.43,4.43,4.46,0.35,-37.5,1.08
38,600995,南网储能,13.75,0.66,0.09,68439,93321026.0,1.54,13.75,13.54,13.66,13.66,1.43,28.9,2.16
