序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,688025,杰普特,58.02,20.0,9.67,77345.0,429308956.0,17.52,58.02,49.55,49.7,48.35,14.02,44.93,2.92
2,688662,富信科技,39.82,13.32,4.68,56794.0,208623056.0,15.82,40.0,34.44,34.45,35.14,10.47,383.39,4.84
3,002913,奥士康,40.17,9.99,3.65,54174.0,208723517.12,9.47,40.17,36.71,36.71,36.52,2.04,24.27,3.25
4,002436,兴森科技,14.76,9.99,1.34,901453.0,1308732165.01,10.88,14.76,13.3,13.33,13.42,6.01,830.87,3.81
5,688655,迅捷兴,13.01,7.97,0.96,32889.0,42254186.0,8.46,13.14,12.12,12.17,12.05,4.72,69.42,2.51
6,002388,新亚制程,7.42,7.07,0.49,167660.0,123655963.16,7.07,7.49,7.0,7.07,6.93,3.51,95.02,2.58
7,688322,奥比中光-UW,31.17,5.98,1.76,17760.0,54689557.0,5.58,31.27,29.63,29.64,29.41,5.45,-45.76,3.92
8,300476,胜宏科技,18.51,5.95,1.04,515058.0,930536939.67,12.42,19.0,16.83,16.83,17.47,6.01,31.94,2.27
9,301280,珠城科技,51.72,5.44,2.67,9416.0,48413678.26,4.44,52.38,50.2,50.23,49.05,6.09,24.28,2.07
10,688496,清越科技,11.68,5.04,0.56,59641.0,69210595.0,6.38,11.88,11.17,11.36,11.12,6.95,312.7,4.11
11,002161,远 望 谷,5.04,5.0,0.24,106266.0,52836384.68,5.63,5.06,4.79,4.79,4.8,1.49,-96.7,2.6
12,300964,本川智能,45.35,4.98,2.15,56039.0,252873238.29,7.43,45.99,42.78,42.99,43.2,17.03,119.43,3.47
13,430718,合肥高科,5.36,4.69,0.24,3413.0,1818097.45,4.3,5.4,5.18,5.19,5.12,1.72,8.8,1.03
14,600152,维科技术,9.57,4.59,0.42,241621.0,228086708.0,4.7,9.58,9.15,9.15,9.15,4.6,-45.82,2.69
15,000988,华工科技,33.32,4.48,1.43,851199.0,2832804108.63,5.93,33.9,32.01,32.01,31.89,8.47,27.19,3.97
16,688183,生益电子,12.89,4.29,0.53,120966.0,154261178.0,4.94,13.01,12.4,12.46,12.36,3.92,-668.79,2.63
17,301041,金百泽,20.94,4.18,0.84,36791.0,76495417.14,6.82,21.17,19.8,19.87,20.1,5.99,140.27,3.5
18,688035,德邦科技,59.75,4.09,2.35,18930.0,112897531.0,7.21,61.18,57.04,57.04,57.4,6.15,88.33,3.81
19,002199,东晶电子,6.7,4.04,0.26,36102.0,23908100.0,4.5,6.7,6.41,6.41,6.44,1.48,-29.28,4.63
20,301359,东南电子,22.51,3.83,0.83,13591.0,30288339.83,4.43,22.65,21.69,21.84,21.68,6.68,58.68,2.29
21,300936,中英科技,28.91,3.77,1.05,8907.0,25459260.94,4.85,28.96,27.61,27.64,27.86,3.35,77.35,2.43
22,300739,明阳电路,13.61,3.73,0.49,39217.0,52875957.03,3.51,13.65,13.19,13.24,13.12,1.35,41.68,2.34
23,688511,天微电子,33.55,3.55,1.15,8509.0,28402080.0,6.27,34.03,32.0,32.0,32.4,2.09,38.61,3.32
24,002579,中京电子,8.93,3.48,0.3,156737.0,139117600.76,3.36,8.95,8.66,8.69,8.63,2.69,-22.03,2.08
25,688103,国力股份,64.42,3.42,2.13,23306.0,149940225.0,7.22,66.5,62.0,62.5,62.29,3.7,134.46,5.9
26,300814,中富电路,18.57,3.4,0.61,15258.0,28098049.0,3.79,18.61,17.93,18.05,17.96,3.0,56.03,2.86
27,300408,三环集团,30.25,3.35,0.98,172407.0,520634542.19,5.43,30.6,29.01,29.01,29.27,0.93,45.29,3.33
28,603920,世运电路,17.61,3.35,0.57,104185.0,182704101.0,4.46,17.79,17.03,17.04,17.04,1.96,31.23,3.2
29,603052,可川科技,40.82,3.34,1.32,12367.0,50222862.0,4.0,41.09,39.51,39.51,39.5,7.19,37.68,2.54
30,000733,振华科技,89.87,3.3,2.87,76108.0,684199458.51,3.99,91.7,88.23,91.5,87.0,1.46,15.92,4.46
31,600601,*ST方科,2.84,3.27,0.09,169490.0,47297174.0,4.0,2.86,2.75,2.78,2.75,0.41,-144.27,3.45
32,688143,长盈通,45.89,3.24,1.44,17845.0,78367444.0,11.16,45.97,41.01,42.19,44.45,9.05,-127.71,3.48
33,300868,杰美特,15.79,3.2,0.49,10398.0,16241896.88,3.46,15.82,15.29,15.31,15.3,1.72,-53.94,1.25
34,002137,实益达,6.68,3.09,0.2,122372.0,81208035.0,3.7,6.69,6.45,6.45,6.48,3.13,55.78,2.54
35,600237,铜峰电子,6.4,3.06,0.19,88961.0,56497793.0,2.9,6.41,6.23,6.26,6.21,1.58,40.5,2.9
36,002134,天津普林,9.35,2.97,0.27,64230.0,59849708.0,3.85,9.5,9.15,9.33,9.08,2.61,81.9,5.12
37,300991,创益通,12.63,2.93,0.36,41869.0,52648239.0,3.18,12.75,12.36,12.4,12.27,6.4,-53.1,2.9
38,301176,逸豪新材,16.24,2.85,0.45,12466.0,20038070.94,3.36,16.29,15.76,15.79,15.79,3.04,-247.18,1.65
39,300475,香农芯创,21.02,2.84,0.58,34735.0,71995605.64,4.89,21.2,20.2,20.2,20.44,0.79,28.15,4.08
40,300747,锐科激光,25.91,2.82,0.71,74872.0,191502674.29,3.93,26.04,25.05,25.2,25.2,1.48,83.32,4.72
41,002636,金安国纪,8.47,2.79,0.23,47525.0,39918313.52,3.03,8.48,8.23,8.29,8.24,0.66,87.39,1.74
42,002008,大族激光,26.12,2.71,0.69,142099.0,367206449.77,2.63,26.12,25.45,25.61,25.43,1.45,48.23,1.99
43,300656,民德电子,33.38,2.71,0.88,14152.0,47171728.22,5.51,33.97,32.18,32.18,32.5,1.22,220.65,4.48
44,603328,依顿电子,7.68,2.67,0.2,157308.0,119603976.0,2.94,7.69,7.47,7.48,7.48,1.58,25.04,2.1
45,300410,正业科技,8.09,2.66,0.21,40623.0,32579717.27,2.79,8.1,7.88,7.94,7.88,1.11,-23.98,4.73
46,605058,澳弘电子,20.16,2.65,0.52,9989.0,20004528.0,2.7,20.18,19.65,19.65,19.64,2.33,23.6,1.85
47,300657,弘信电子,13.51,2.58,0.34,106416.0,141289704.43,5.16,13.63,12.95,12.95,13.17,2.39,-22.14,4.0
48,600288,大恒科技,12.13,2.54,0.3,59685.0,71627543.0,3.13,12.16,11.79,11.87,11.83,1.37,82.21,2.88
49,301366,一博科技,54.61,2.5,1.33,5956.0,32346921.86,3.0,54.88,53.28,53.29,53.28,3.06,50.69,2.15
50,001298,好上好,33.88,2.48,0.82,10058.0,33873621.65,2.54,33.95,33.11,33.11,33.06,4.19,188.94,2.17
51,301319,唯特偶,55.92,2.38,1.3,7591.0,42304394.75,4.17,56.48,54.2,54.2,54.62,5.18,30.26,2.98
52,002389,航天彩虹,22.01,2.37,0.51,146690.0,320453508.34,3.07,22.11,21.45,21.48,21.5,1.58,294.17,2.77
53,300852,四会富仕,41.21,2.31,0.93,24757.0,101507406.41,4.49,41.58,39.77,39.99,40.28,6.96,22.28,3.37
54,002724,海洋王,8.93,2.29,0.2,33851.0,30046351.0,4.01,8.98,8.63,8.7,8.73,1.39,177.98,2.39
55,002729,好利科技,18.39,2.22,0.4,33975.0,62085259.66,2.67,18.43,17.95,17.97,17.99,1.94,156.01,7.08
56,200725,京东方Ｂ,3.27,2.19,0.07,10144.0,3259368.7,4.06,3.27,3.14,3.19,3.2,0.15,110.53,0.85
57,002141,贤丰控股,3.79,2.16,0.08,76803.0,28811343.25,4.04,3.8,3.65,3.65,3.71,0.68,225.15,3.75
58,000636,风华高科,15.79,2.13,0.33,106980.0,168049976.18,2.85,15.84,15.4,15.46,15.46,0.99,78.33,1.53
59,300903,科翔股份,9.37,2.07,0.19,95533.0,88830417.37,2.83,9.39,9.13,9.16,9.18,3.47,-27.09,1.67
60,301132,满坤科技,25.52,2.04,0.51,10152.0,25838853.26,2.32,25.58,25.0,25.0,25.01,2.75,38.73,2.27
61,002384,东山精密,24.7,2.02,0.49,183282.0,452997278.37,3.63,25.1,24.22,24.22,24.21,1.32,22.39,2.52
62,002288,超华科技,4.59,2.0,0.09,94413.0,42997799.56,3.56,4.61,4.45,4.48,4.5,1.18,-52.44,3.29
63,002815,崇达技术,12.05,1.95,0.23,87571.0,104694739.94,2.79,12.06,11.73,11.81,11.82,2.02,20.98,1.88
64,603936,博敏电子,12.15,1.84,0.22,124789.0,151459915.0,2.85,12.24,11.9,11.91,11.93,2.44,92.32,1.5
65,301285,鸿日达,12.41,1.8,0.22,14177.0,17531857.11,2.13,12.48,12.22,12.25,12.19,2.74,-79.19,2.47
66,605258,协和电子,22.44,1.77,0.39,11485.0,25578634.0,2.54,22.45,21.89,22.05,22.05,3.04,62.56,1.7
67,002214,大立科技,13.99,1.75,0.24,38858.0,54226888.44,2.98,14.05,13.64,13.64,13.75,0.81,-45.4,3.7
68,688539,高华科技,40.18,1.72,0.68,44977.0,182064354.0,5.59,41.59,39.38,39.38,39.5,15.93,92.84,3.09
69,000823,超声电子,9.54,1.71,0.16,80140.0,76125902.15,2.56,9.58,9.34,9.34,9.38,1.49,87.03,1.17
70,002938,鹏鼎控股,26.11,1.63,0.42,209009.0,545367705.72,2.8,26.29,25.57,25.6,25.69,0.92,36.2,2.13
71,837821,则成电子,8.25,1.6,0.13,1189.0,967776.77,1.72,8.25,8.11,8.2,8.12,0.65,24.6,1.18
72,603386,骏亚科技,11.33,1.52,0.17,23279.0,26283941.0,3.23,11.36,11.0,11.01,11.16,0.71,73.6,2.43
73,301389,隆扬电子,17.74,1.49,0.26,13053.0,23083652.12,1.66,17.78,17.49,17.49,17.48,1.94,65.31,2.14
74,301217,铜冠铜箔,12.42,1.47,0.18,19027.0,23511203.9,1.23,12.43,12.28,12.3,12.24,0.83,99.19,1.82
75,900938,海科B,0.212,1.44,0.003,2046.0,42975.0,1.91,0.212,0.208,0.21,0.209,0.06,53.28,0.59
76,603989,艾华集团,22.19,1.42,0.31,21501.0,47437342.0,2.38,22.3,21.78,21.79,21.88,0.54,24.59,2.66
77,002922,伊戈尔,13.98,1.3,0.18,46557.0,64671661.86,2.32,14.03,13.71,13.91,13.8,1.65,55.46,2.34
78,603228,景旺电子,23.04,1.14,0.26,55555.0,128721656.0,6.45,23.7,22.23,22.25,22.78,0.66,23.07,2.45
79,688375,国博电子,83.93,1.12,0.93,8405.0,70588219.0,3.54,84.98,82.04,82.5,83.0,2.62,72.43,5.83
80,002869,金溢科技,26.3,1.08,0.28,64144.0,168127468.95,4.73,26.86,25.63,25.79,26.02,4.24,-87.22,2.3
81,833346,威贸电子,6.87,1.03,0.07,963.0,654638.6,1.62,6.87,6.76,6.76,6.8,0.34,23.9,1.31
82,300124,汇川技术,61.8,0.98,0.6,88833.0,546371043.11,1.37,61.81,60.97,61.34,61.2,0.38,55.01,7.89
83,688519,南亚新材,22.1,0.96,0.21,14733.0,32638542.0,2.83,22.5,21.88,22.05,21.89,1.6,-139.28,1.98
84,603002,宏昌电子,5.42,0.93,0.05,71908.0,38798091.0,1.3,5.43,5.36,5.36,5.37,1.17,66.37,1.98
85,301282,金禄电子,27.4,0.88,0.24,23266.0,63501615.46,2.54,27.57,26.88,27.01,27.16,6.16,56.35,2.43
86,871857,泓禧科技,8.2,0.74,0.06,499.0,405401.92,1.47,8.2,8.08,8.16,8.14,0.22,30.75,1.64
87,872374,云里物里,8.25,0.73,0.06,664.0,548066.68,1.22,8.28,8.18,8.18,8.19,0.24,24.66,2.74
88,002463,沪电股份,21.93,0.69,0.15,702565.0,1572076110.87,7.67,23.2,21.53,21.58,21.78,3.69,52.15,5.02
89,002859,洁美科技,25.1,0.56,0.14,54779.0,135866377.95,3.89,25.29,24.32,24.89,24.96,1.37,86.48,4.03
90,002414,高德红外,11.04,0.55,0.06,112629.0,123199512.14,2.82,11.06,10.75,10.8,10.98,0.43,143.53,5.07
91,871981,晶赛科技,14.88,0.54,0.08,9337.0,13218872.28,12.7,14.88,13.0,13.49,14.8,2.39,569.06,2.17
92,200541,粤照明Ｂ,2.41,0.42,0.01,1836.0,442098.6,0.83,2.42,2.4,2.42,2.4,0.06,10.85,0.55
93,600353,旭光电子,12.54,0.4,0.05,114075.0,144999646.0,4.96,13.05,12.43,12.58,12.49,1.98,101.84,4.43
94,688020,方邦股份,53.18,0.4,0.21,10711.0,56197084.0,4.36,53.89,51.58,53.89,52.97,1.34,-48.99,2.8
95,834950,迅安科技,11.09,0.36,0.04,914.0,1010626.78,2.26,11.15,10.9,11.15,11.05,0.8,12.71,2.07
96,002916,深南电路,82.26,0.32,0.26,51402.0,423144454.84,1.57,83.0,81.71,82.02,82.0,1.01,51.1,3.38
97,870357,雅葆轩,11.73,0.26,0.03,1534.0,1786220.37,2.31,11.8,11.53,11.65,11.7,1.0,10.56,1.94
98,002138,顺络电子,22.04,0.23,0.05,46148.0,101635849.09,2.14,22.29,21.82,21.92,21.99,0.64,55.16,3.26
99,833914,远航精密,9.73,0.1,0.01,1163.0,1130096.39,1.44,9.81,9.67,9.67,9.72,0.21,17.92,1.12
100,688800,瑞可达,76.32,0.03,0.02,20545.0,155778990.0,8.22,78.08,71.81,72.8,76.3,2.7,52.65,4.47
101,688093,世华科技,18.37,0.0,0.0,9499.0,17448920.0,2.07,18.63,18.25,18.51,18.37,1.52,36.84,3.06
102,603678,火炬电子,37.7,0.0,0.0,26208.0,98703984.0,1.86,38.0,37.3,37.6,37.7,0.57,34.26,3.25
103,300460,惠伦晶体,,,,,,,,,,11.6,0.0,-19.71,3.23
104,300220,金运激光,,,,,,,,,,9.91,0.0,-135.9,16.59
105,200413,东旭B,0.78,0.0,0.0,1428.0,111118.0,2.56,0.79,0.77,0.79,0.78,0.06,-4.27,0.17
106,688776,国光电气,140.64,-0.04,-0.06,10033.0,140480216.0,5.21,142.92,135.59,136.0,140.7,4.15,133.14,6.17
107,688503,聚和材料,108.41,-0.11,-0.12,8102.0,86754969.0,4.19,109.76,105.21,109.34,108.53,3.31,24.48,2.6
108,301021,英诺激光,24.39,-0.25,-0.06,24412.0,58601981.0,4.83,24.49,23.31,23.6,24.45,3.49,-186.37,3.75
109,600884,杉杉股份,15.16,-0.26,-0.04,197139.0,297406439.0,2.24,15.27,14.93,15.11,15.2,1.12,14.99,1.46
110,836395,朗鸿科技,6.36,-0.31,-0.02,966.0,617810.14,2.98,6.45,6.26,6.27,6.38,0.35,20.76,3.02
111,603738,泰晶科技,21.09,-0.33,-0.07,67302.0,142032952.0,3.31,21.46,20.76,21.1,21.16,2.44,76.69,3.22
112,200020,深华发Ｂ,2.51,-0.4,-0.01,464.0,117185.0,2.78,2.53,2.46,2.46,2.52,0.05,24.18,1.73
113,002179,中航光电,54.93,-0.4,-0.22,59794.0,327154149.72,1.54,55.2,54.35,55.09,55.15,0.38,22.55,4.77
114,301150,中一科技,56.07,-0.59,-0.33,6400.0,35851535.66,2.25,56.77,55.5,56.3,56.4,1.22,31.69,1.42
115,300227,光韵达,7.2,-0.69,-0.05,95453.0,68675196.0,2.07,7.24,7.09,7.11,7.25,2.34,133.95,2.37
116,688489,三未信安,108.48,-0.91,-1.0,16167.0,175098987.0,4.18,111.4,106.82,110.0,109.48,9.89,-551.61,4.44
117,300726,宏达电子,41.15,-0.99,-0.41,28200.0,115559589.31,2.41,41.61,40.61,40.8,41.56,1.32,29.24,3.68
118,832110,雷特科技,14.84,-1.07,-0.16,1176.0,1731810.26,3.0,15.11,14.66,15.11,15.0,1.09,14.72,1.74
119,688053,思科瑞,54.09,-1.15,-0.63,6180.0,33607787.0,3.71,55.76,53.73,54.18,54.72,2.7,57.76,3.2
120,600183,生益科技,16.05,-1.41,-0.23,352450.0,566435634.0,3.62,16.44,15.85,16.28,16.28,1.51,37.86,2.68
121,688210,统联精密,26.59,-1.63,-0.44,11534.0,30880068.0,3.03,27.34,26.52,26.6,27.03,1.58,-255.51,2.44
122,301328,维峰电子,83.13,-1.68,-1.42,6009.0,49914046.36,3.43,84.92,82.02,84.48,84.55,3.42,31.97,3.24
123,688778,厦钨新能,62.81,-1.8,-1.15,17431.0,109635717.0,4.53,64.8,61.9,64.09,63.96,1.85,40.83,2.27
124,603267,鸿远电子,70.8,-1.97,-1.42,31694.0,224598680.0,2.77,72.1,70.1,70.77,72.22,1.37,40.49,4.01
125,600478,科力远,7.42,-1.98,-0.15,190647.0,142611405.0,3.83,7.67,7.38,7.59,7.57,1.15,104.72,4.39
126,000062,深圳华强,12.25,-2.0,-0.25,83251.0,101403956.29,3.04,12.32,11.94,12.28,12.5,0.8,25.56,1.89
127,002025,航天电器,65.01,-2.48,-1.65,59261.0,381653551.82,4.44,66.28,63.32,66.0,66.66,1.31,33.5,4.99
128,688371,菲沃泰,18.07,-2.69,-0.5,31894.0,56997369.0,4.09,18.31,17.55,17.6,18.57,4.05,-142.03,3.05
129,300474,景嘉微,89.43,-3.21,-2.97,300793.0,2781319347.45,7.1,95.83,89.27,92.0,92.4,9.47,-143.98,12.51
130,002484,江海股份,20.07,-3.6,-0.75,93862.0,190032545.91,4.71,20.98,20.0,20.76,20.82,1.18,27.37,3.42
131,603186,华正新材,27.27,-4.08,-1.16,78120.0,217041502.0,6.51,28.96,27.11,28.26,28.43,5.51,-124.16,2.38
132,600563,法拉电子,133.21,-4.71,-6.58,20976.0,281919409.0,4.41,138.67,132.5,137.99,139.79,0.93,32.41,6.95
133,837212,智新电子,6.18,-5.21,-0.34,3268.0,2029217.51,5.21,6.41,6.07,6.38,6.52,0.63,88.44,1.64
134,300516,久之洋,34.96,-11.58,-4.58,125992.0,437064768.17,13.58,37.0,31.63,37.0,39.54,7.0,333.9,5.0
