序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,873593,鼎智科技,64.0,15.11,8.4,26094,162093580.8,18.53,66.3,56.0,56.32,55.6,14.52,19.67,4.77
2,300660,江苏雷利,27.6,4.47,1.18,41482,112375181.11,5.22,27.8,26.42,26.42,26.42,1.58,25.22,2.36
3,002823,凯中精密,9.39,4.1,0.37,29046,26900077.85,4.43,9.41,9.01,9.03,9.02,1.71,1684.67,2.06
4,002576,通达动力,16.59,3.75,0.6,83888,137566719.0,3.63,16.61,16.03,16.09,15.99,5.18,26.89,2.4
5,688395,正弦电气,21.2,3.36,0.69,11847,24887086.0,6.48,21.64,20.31,20.42,20.51,3.09,26.87,2.61
6,301226,祥明智能,33.83,2.95,0.97,9661,32442714.0,2.34,33.84,33.07,33.07,32.86,3.15,36.59,2.62
7,600580,卧龙电驱,12.26,2.85,0.34,89358,108539665.0,2.77,12.26,11.93,11.93,11.92,0.68,15.64,1.74
8,300626,华瑞股份,8.33,2.71,0.22,17349,14261296.4,3.58,8.34,8.05,8.11,8.11,0.98,3413.61,2.45
9,603988,中电电机,9.55,2.69,0.25,15895,15006106.0,3.33,9.56,9.25,9.28,9.3,0.68,157.09,3.5
10,603320,迪贝电气,12.42,2.39,0.29,6379,7860726.0,2.97,12.46,12.1,12.31,12.13,0.49,72.35,2.14
11,002249,大洋电机,5.28,2.33,0.12,257539,135020107.4,2.52,5.28,5.15,5.16,5.16,1.46,18.5,1.48
12,300907,康平科技,18.39,1.83,0.33,5257,9605629.8,2.21,18.44,18.04,18.04,18.06,1.42,64.19,2.35
13,002801,微光股份,24.23,1.81,0.43,5419,13052907.0,1.85,24.24,23.8,23.8,23.8,0.47,18.34,3.46
14,002892,科力尔,12.63,1.61,0.2,106734,134017146.18,3.62,12.75,12.3,12.3,12.43,5.56,21.94,3.02
15,002196,方正电机,6.46,1.1,0.07,43622,27897803.56,1.88,6.46,6.34,6.4,6.39,0.91,98.56,2.55
16,002176,江特电机,12.53,0.16,0.02,278082,348109723.3,2.64,12.71,12.38,12.5,12.51,1.63,105.53,4.95
17,603819,神力股份,15.36,-0.26,-0.04,13973,21221073.0,3.18,15.49,15.0,15.49,15.4,0.64,1846.57,4.62
18,000922,佳电股份,12.96,-0.92,-0.12,89572,116208819.14,3.21,13.23,12.81,12.85,13.08,1.53,19.58,2.49
19,003021,兆威机电,69.1,-1.59,-1.12,41328,287797852.93,4.22,71.66,68.7,70.75,70.22,6.86,104.77,3.97
20,603489,八方股份,89.15,-1.72,-1.56,7129,62353953.0,5.36,89.15,84.29,84.52,90.71,0.59,57.56,3.69
21,603728,鸣志电器,38.96,-2.23,-0.89,26347,103889260.0,4.92,40.85,38.89,39.79,39.85,0.63,125.93,5.97
22,301023,江南奕帆,37.76,-2.68,-1.04,7224,27304599.31,3.51,38.69,37.33,38.33,38.8,3.12,36.82,2.45
