序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,300839,博汇股份,18.9,6.18,1.1,36477,67790195.71,6.69,18.93,17.74,17.82,17.8,4.58,15.41,3.24
2,601857,中国石油,7.89,5.2,0.39,2747828,2112599054.0,6.13,7.89,7.43,7.47,7.5,0.17,8.27,1.03
3,600938,中国海油,19.33,5.17,0.95,753544,1435383719.0,4.68,19.48,18.62,18.65,18.38,2.65,7.16,1.47
4,002221,东华能源,8.85,3.51,0.3,165299,145671408.6,4.44,8.99,8.61,8.63,8.55,1.13,67.26,1.35
5,000637,茂化实华,4.47,2.76,0.12,48795,21610360.8,3.68,4.49,4.33,4.34,4.35,1.33,-19.23,2.73
6,603353,和顺石油,16.9,2.42,0.4,8723,14638856.0,2.67,16.95,16.51,16.64,16.5,0.5,59.98,1.73
7,000554,泰山石油,5.55,2.4,0.13,116359,64342714.73,2.4,5.56,5.43,5.45,5.42,3.21,87.91,2.83
8,603798,康普顿,10.38,2.17,0.22,17706,18225557.0,2.36,10.4,10.16,10.18,10.16,0.89,15.07,1.84
9,000819,岳阳兴长,18.01,1.87,0.33,30271,54438687.54,3.39,18.3,17.7,17.9,17.68,1.01,83.63,5.43
10,600028,中国石化,6.71,1.82,0.12,2244375,1482971033.0,4.55,6.74,6.44,6.54,6.59,0.24,10.01,1.0
11,000159,国际实业,7.56,1.75,0.13,83320,62871644.0,2.56,7.63,7.44,7.44,7.43,1.73,189.6,1.44
12,600759,ST洲际,2.5,1.63,0.04,252548,62622430.0,3.25,2.52,2.44,2.49,2.46,1.12,-56.25,1.53
13,000059,华锦股份,6.99,1.3,0.09,95928,66881277.27,1.59,7.0,6.89,6.9,6.9,0.6,-5.61,0.8
14,000698,沈阳化工,4.26,0.95,0.04,60756,25800148.94,2.13,4.28,4.19,4.23,4.22,0.77,-8.29,1.84
15,600777,新潮能源,2.78,0.72,0.02,1900799,524638883.0,2.17,2.78,2.72,2.75,2.76,2.99,7.44,1.08
16,000096,广聚能源,8.15,0.62,0.05,10690,8698444.37,0.86,8.16,8.09,8.11,8.1,0.21,107.11,1.66
17,600688,上海石化,3.45,0.58,0.02,434351,149324004.0,2.62,3.49,3.4,3.45,3.43,0.59,-57.09,1.43
18,600256,广汇能源,9.29,0.22,0.02,783274,728833923.0,2.27,9.42,9.21,9.27,9.27,1.19,5.07,1.91
19,002778,中晟高科,13.88,-0.79,-0.11,7982,11160546.6,2.22,14.19,13.88,13.94,13.99,0.64,326.07,2.99
20,600387,海越能源,6.3,-0.94,-0.06,112979,72151754.0,4.09,6.52,6.26,6.36,6.36,2.8,43.91,0.94
