序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,000615,奥园美谷,4.48,5.66,0.24,393136,176034343.23,9.67,4.62,4.21,4.23,4.24,5.16,-37.97,-18.73
2,002094,青岛金王,3.57,3.48,0.12,107117,37796431.0,3.48,3.57,3.45,3.47,3.45,1.55,30.49,1.69
3,002243,力合科创,8.7,3.33,0.28,93695,80686396.06,3.56,8.71,8.41,8.45,8.42,0.77,52.47,1.52
4,002511,中顺洁柔,11.78,2.88,0.33,128498,149480742.75,3.76,11.81,11.38,11.46,11.45,0.99,44.01,2.99
5,603238,诺邦股份,11.49,2.86,0.32,18263,20744408.0,3.76,11.5,11.08,11.17,11.17,1.03,49.87,1.58
6,600249,两面针,5.03,2.65,0.13,95563,47617771.0,3.27,5.05,4.89,4.9,4.9,1.74,150.67,1.32
7,000523,广州浪奇,3.2,2.24,0.07,56979,18065633.8,3.19,3.21,3.11,3.13,3.13,0.41,386.78,3.76
8,300658,延江股份,7.82,2.22,0.17,20154,15678064.71,3.01,7.86,7.63,7.63,7.65,1.06,77.99,1.58
9,600315,上海家化,29.26,1.95,0.56,65767,191270006.0,2.33,29.3,28.63,28.71,28.7,0.98,21.55,2.65
10,300849,锦盛新材,10.95,1.67,0.18,11303,12209055.5,2.51,10.96,10.69,10.74,10.77,1.28,-58.99,2.57
11,603605,珀莱雅,167.9,1.51,2.49,10733,178993488.0,2.99,169.0,164.05,164.11,165.41,0.38,57.21,12.83
12,603630,拉芳家化,13.96,1.31,0.18,17098,23775212.0,2.1,13.98,13.69,13.69,13.78,0.76,21.6,1.6
13,001206,依依股份,15.27,0.79,0.12,18604,28112841.91,2.11,15.27,14.95,15.02,15.15,1.6,-313.05,1.62
14,300886,华业香料,22.55,0.71,0.16,5228,11702708.54,4.15,22.65,21.72,21.98,22.39,1.58,249.3,3.1
15,603983,丸美股份,36.24,0.5,0.18,12134,43562390.0,2.94,36.28,35.22,35.89,36.06,0.3,46.23,4.45
16,300955,嘉亨家化,21.53,0.28,0.06,5352,11502502.32,3.26,21.98,21.28,21.98,21.47,1.19,99.72,2.18
17,300740,水羊股份,14.54,0.0,0.0,116292,169087190.52,3.71,14.78,14.24,14.3,14.54,3.27,27.15,3.14
18,688363,华熙生物,99.39,-0.06,-0.06,30088,297928693.0,1.89,99.88,98.0,99.44,99.45,1.52,59.68,6.95
19,301009,可靠股份,11.65,-0.17,-0.02,29201,33728719.69,2.66,11.7,11.39,11.55,11.67,3.0,71.35,2.32
20,603059,倍加洁,21.52,-0.55,-0.12,18149,39244923.0,2.17,21.86,21.39,21.74,21.64,1.81,75.17,1.83
21,300856,科思股份,66.96,-0.67,-0.45,41817,277746540.01,3.56,67.6,65.2,66.07,67.41,7.09,17.69,5.38
22,300896,爱美客,543.97,-0.92,-5.03,10772,584195046.94,2.34,550.0,537.15,547.26,549.0,1.23,71.06,18.82
23,300888,稳健医疗,60.74,-1.09,-0.67,17448,106276997.37,2.04,61.84,60.59,61.22,61.41,1.28,17.18,2.14
24,003006,百亚股份,18.43,-1.6,-0.3,37851,70066158.48,4.27,18.9,18.1,18.5,18.73,1.76,24.74,6.48
25,300957,贝泰妮,114.03,-1.7,-1.97,34632,393649711.24,3.45,116.0,112.0,114.99,116.0,1.59,76.3,8.46
26,300132,青松股份,5.89,-2.32,-0.14,139475,82549801.58,4.81,6.11,5.82,5.9,6.03,2.83,-15.87,2.29
27,605009,豪悦护理,54.45,-6.6,-3.85,41818,232078152.0,4.68,57.18,54.45,57.0,58.3,8.1,26.61,2.73
28,002919,名臣健康,35.44,-10.01,-3.94,19291,68367304.0,0.0,35.44,35.44,35.44,39.38,1.14,44.42,7.84
