序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,688070,纵横股份,42.39,4.77,1.93,2666,11152832.0,4.42,42.6,40.81,41.32,40.46,0.69,627.84,5.53
2,688685,迈信林,19.38,3.75,0.7,12762,24409582.0,4.39,19.48,18.66,18.66,18.68,2.31,73.63,3.02
3,688287,观典防务,13.17,2.57,0.33,38247,49950718.0,3.35,13.23,12.8,12.91,12.84,2.62,118.78,4.04
4,300424,航新科技,13.45,2.44,0.32,48062,63697113.6,3.35,13.49,13.05,13.2,13.13,2.01,-375.19,4.56
5,002297,博云新材,7.49,2.32,0.17,58066,43140950.0,2.87,7.52,7.31,7.35,7.32,1.01,146.71,2.05
6,002933,新兴装备,28.07,2.22,0.61,30035,83292835.66,4.92,28.33,26.98,27.37,27.46,2.65,-69.19,2.29
7,000768,中航西飞,25.9,2.01,0.51,159799,408701107.01,2.8,25.96,25.25,25.25,25.39,0.58,76.46,4.39
8,000697,*ST炼石,6.79,1.95,0.13,150424,99005578.03,9.01,6.94,6.34,6.62,6.66,2.61,-12.96,-9.3
9,603261,立航科技,33.15,1.91,0.62,5926,19515648.0,3.14,33.36,32.34,32.34,32.53,2.3,-116.48,2.99
10,688297,中无人机,50.99,1.74,0.87,50950,258018407.0,3.79,51.7,49.8,50.23,50.12,3.93,133.42,5.9
11,600316,洪都航空,25.42,1.68,0.42,70046,176460560.0,2.68,25.5,24.83,24.83,25.0,0.98,-502.45,3.45
12,300965,恒宇信通,43.32,1.64,0.7,5574,23965702.0,2.44,43.45,42.41,42.89,42.62,3.39,-267.73,1.89
13,600391,航发科技,21.11,1.49,0.31,74328,155855144.0,3.03,21.25,20.62,20.85,20.8,2.25,-160.91,4.52
14,300719,安达维尔,11.8,1.46,0.17,34030,40000694.38,2.67,11.86,11.55,11.66,11.63,1.88,1176.82,3.09
15,600118,中国卫星,26.44,1.34,0.35,188454,497675453.0,2.84,26.66,25.92,26.0,26.09,1.59,156.84,4.96
16,600879,航天电子,7.75,1.31,0.1,322403,249535956.0,2.22,7.79,7.62,7.66,7.65,1.19,28.95,1.33
17,300900,广联航空,28.07,1.26,0.35,26991,75408203.98,1.66,28.16,27.7,27.86,27.72,2.04,58.75,3.7
18,600038,中直股份,42.52,1.21,0.51,46145,195463167.0,1.88,42.64,41.85,42.0,42.01,0.78,438.4,2.57
19,300159,ST新研,2.94,1.03,0.03,253372,74342460.72,2.41,2.97,2.9,2.91,2.91,1.7,-18.33,45.88
20,002023,海特高新,8.91,1.02,0.09,64071,56691524.5,1.93,8.92,8.75,8.75,8.82,0.97,132.47,1.61
21,688237,超卓航科,45.86,0.77,0.35,6413,29254054.0,2.2,46.2,45.2,45.51,45.51,3.41,47.81,3.13
22,003009,中天火箭,49.11,0.64,0.31,25382,123868057.89,2.6,49.47,48.2,48.91,48.8,5.77,69.23,5.05
23,688510,航亚科技,18.7,0.59,0.11,34835,64475326.0,3.17,18.77,18.18,18.6,18.59,2.1,96.67,4.98
24,300696,爱乐达,23.8,0.42,0.1,25426,60043751.25,2.41,23.89,23.32,23.7,23.7,1.43,30.93,3.61
25,600372,中航电子,15.29,0.13,0.02,416433,637538432.0,1.64,15.49,15.24,15.28,15.27,0.93,81.33,5.52
26,600760,中航沈飞,57.51,0.1,0.06,81772,469622558.0,1.01,57.71,57.13,57.16,57.45,0.42,44.1,8.39
27,300581,晨曦航空,17.17,0.06,0.01,41669,71158031.18,2.1,17.27,16.91,17.08,17.16,1.29,-165.47,5.45
28,688586,江航装备,18.19,0.06,0.01,44189,80356806.0,1.76,18.33,18.01,18.15,18.18,1.74,42.69,4.25
29,600862,中航高科,22.29,-0.45,-0.1,85097,188354802.0,2.59,22.42,21.84,22.33,22.39,0.61,23.21,5.38
30,600765,中航重机,25.85,-0.46,-0.12,184599,475084182.0,2.5,26.16,25.51,25.9,25.97,1.26,35.16,3.56
31,300722,新余国科,28.9,-0.52,-0.15,29532,84730441.76,2.62,29.01,28.25,29.0,29.05,1.54,105.29,10.04
32,300775,三角防务,35.83,-0.56,-0.2,109808,391201438.65,1.75,35.93,35.3,35.92,36.03,2.28,22.55,4.13
33,600893,航发动力,43.76,-0.68,-0.3,108522,474788159.0,1.75,44.23,43.46,44.23,44.06,0.44,331.5,3.03
34,000738,航发控制,23.84,-0.83,-0.2,108791,257667039.97,2.25,24.01,23.47,24.01,24.04,0.83,32.18,2.75
35,002985,北摩高科,43.61,-1.2,-0.53,30838,134872795.89,3.4,44.9,43.4,44.2,44.14,1.7,26.8,4.67
36,688239,航宇科技,77.93,-1.79,-1.42,16882,132609659.0,4.81,80.6,76.78,79.35,79.35,1.64,54.98,8.32
