序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,601326,秦港股份,3.36,10.16,0.31,800637,259615742.0,9.51,3.36,3.07,3.07,3.05,1.68,11.23,1.05
2,600190,锦州港,3.41,5.25,0.17,309756,104023065.0,5.56,3.42,3.24,3.24,3.24,1.74,66.57,1.02
3,601000,唐山港,3.95,4.77,0.18,907824,351529737.0,5.57,3.97,3.76,3.76,3.77,1.53,11.33,1.19
4,603167,渤海轮渡,7.36,4.4,0.31,78048,56726475.0,4.82,7.39,7.05,7.08,7.05,1.66,30.34,0.94
5,601298,青岛港,7.17,4.37,0.3,297233,209983645.0,5.68,7.22,6.83,6.87,6.87,0.55,9.24,1.2
6,600279,重庆港,4.36,4.31,0.18,196725,84481934.0,4.31,4.37,4.19,4.21,4.18,2.26,-3029.82,0.91
7,601008,连云港,4.73,4.19,0.19,244598,114158732.0,4.19,4.74,4.55,4.56,4.54,1.97,43.82,1.39
8,600751,海航科技,2.58,4.03,0.1,200282,50975107.0,4.03,2.59,2.49,2.49,2.48,0.78,94.36,1.05
9,000905,厦门港务,7.54,3.43,0.25,233936,173971155.02,4.12,7.58,7.28,7.33,7.29,3.15,18.2,1.16
10,002320,海峡股份,6.83,3.33,0.22,371170,251924966.21,3.48,6.88,6.65,6.69,6.61,1.67,24.15,3.72
11,601022,宁波远洋,10.82,3.05,0.32,41224,44321670.0,2.67,10.83,10.55,10.6,10.5,3.15,22.56,2.66
12,600017,日照港,3.0,2.74,0.08,565852,168533096.0,3.77,3.02,2.91,2.91,2.92,1.84,10.47,0.67
13,000507,珠海港,5.69,2.52,0.14,102289,57512781.2,3.24,5.7,5.52,5.54,5.55,1.13,21.48,1.04
14,000582,北部湾港,8.57,2.39,0.2,190734,162213678.31,2.63,8.58,8.36,8.42,8.37,1.35,15.96,1.17
15,600018,上港集团,5.73,2.32,0.13,387434,220696781.0,2.68,5.75,5.6,5.61,5.6,0.17,9.39,1.15
16,002040,南 京 港,7.14,2.15,0.15,51249,36390169.6,2.72,7.15,6.96,6.97,6.99,1.06,25.12,1.15
17,600717,天津港,4.82,1.9,0.09,644388,307821196.0,2.75,4.82,4.69,4.72,4.73,2.23,12.46,0.76
18,601228,广州港,3.24,1.89,0.06,475282,153155893.0,2.2,3.25,3.18,3.19,3.18,0.73,17.96,1.24
19,001205,盛航股份,21.82,1.49,0.32,16300,35570157.64,3.49,22.1,21.35,21.35,21.5,1.4,20.54,2.5
20,601919,中远海控,11.11,1.37,0.15,887628,983846041.0,1.82,11.17,10.97,10.98,10.96,0.7,6.27,0.87
21,603162,海通发展,26.22,1.27,0.33,8782,22935291.0,1.58,26.26,25.85,26.01,25.89,2.13,35.25,3.05
22,601866,中远海发,2.6,1.17,0.03,404952,104615847.0,1.95,2.61,2.56,2.57,2.57,0.49,22.17,1.22
23,600798,宁波海运,3.66,1.1,0.04,76731,27854210.0,2.49,3.67,3.58,3.59,3.62,0.64,271.66,1.13
24,000520,长航凤凰,3.23,0.94,0.03,74419,23830600.78,2.19,3.24,3.17,3.19,3.2,0.74,-96.56,6.0
25,601975,招商南油,3.49,0.87,0.03,497401,172960628.0,1.73,3.51,3.45,3.47,3.46,1.02,10.43,2.18
26,900952,锦港Ｂ股,0.266,0.76,0.002,1478,39429.0,1.52,0.268,0.264,0.266,0.264,0.07,35.68,0.55
27,000088,盐 田 港,5.34,0.75,0.04,112614,59822673.08,1.32,5.34,5.27,5.28,5.3,0.5,28.26,1.25
28,001872,招商港口,19.9,0.66,0.13,84882,166397098.81,3.79,19.95,19.2,19.93,19.77,0.49,14.63,0.9
29,601880,辽港股份,1.62,0.62,0.01,1079688,174517064.0,1.86,1.63,1.6,1.61,1.61,0.57,24.8,0.99
30,601018,宁波港,3.79,0.53,0.02,597274,225426706.0,1.59,3.81,3.75,3.77,3.77,0.45,18.6,1.01
31,603209,兴通股份,34.2,0.35,0.12,10018,34295201.0,3.23,34.7,33.6,34.5,34.08,0.96,22.2,3.24
32,833171,国航远洋,3.61,0.28,0.01,6836,2453911.84,1.11,3.61,3.57,3.61,3.6,0.37,-32.4,1.43
33,600026,中远海能,13.12,0.15,0.02,241027,315047521.0,3.13,13.29,12.88,13.16,13.1,0.69,14.28,1.91
34,601872,招商轮船,6.63,0.15,0.01,345579,229529867.0,2.42,6.73,6.57,6.6,6.62,0.43,12.01,1.59
35,201872,招港B,8.64,0.12,0.01,5053,4326061.12,1.62,8.64,8.5,8.61,8.63,0.28,5.56,0.34
36,600428,中远海特,6.91,-1.57,-0.11,491405,340873229.0,2.71,7.05,6.86,6.95,7.02,2.29,9.54,1.34
37,603565,中谷物流,16.61,-2.06,-0.35,65015,108199033.0,3.89,17.11,16.45,16.83,16.96,1.5,9.65,2.38
