序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,300123,亚光科技,7.23,4.33,0.3,390695,278853957.0,6.06,7.27,6.85,6.88,6.93,3.96,383.76,2.68
2,600072,中船科技,21.09,3.08,0.63,1403402,2953266827.0,11.97,22.35,19.9,21.59,20.46,19.06,222.72,3.85
3,300008,天海防务,4.54,1.79,0.08,1080193,482815236.64,5.61,4.58,4.33,4.4,4.46,7.55,215.15,4.27
4,300600,国瑞科技,12.33,1.23,0.15,460625,563557798.42,15.19,13.36,11.51,12.01,12.18,18.83,-156.05,4.22
5,300589,江龙船艇,14.69,1.1,0.16,336639,490700601.26,8.19,15.19,14.0,14.53,14.53,15.31,257.74,7.18
6,601989,中国重工,4.6,0.0,0.0,4245650,1948948517.0,5.43,4.72,4.47,4.51,4.6,1.92,394.77,1.25
7,601890,亚星锚链,10.27,-1.82,-0.19,564104,576552202.0,4.3,10.48,10.03,10.3,10.46,5.88,41.78,2.97
8,600482,中国动力,17.01,-2.35,-0.41,138516,234821766.0,1.72,17.1,16.8,17.1,17.42,0.68,271.33,1.04
9,600150,中国船舶,25.91,-2.92,-0.78,1587400,4090516622.0,3.78,26.19,25.18,25.76,26.69,3.55,665.37,2.54
10,600685,中船防务,27.82,-3.4,-0.98,361145,1006956950.0,5.59,28.71,27.1,27.9,28.8,4.4,-368.68,2.56
