序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,300130,新国都,17.88,17.02,2.6,533666.0,934835841.02,14.4,18.23,16.03,16.04,15.28,14.32,17.07,3.07
2,300449,汉邦高科,6.61,13.18,0.77,184426.0,118378555.45,14.55,6.65,5.8,5.8,5.84,6.23,-74.17,58.51
3,002835,同为股份,14.27,10.02,1.3,28654.0,40441912.16,6.48,14.27,13.43,13.43,12.97,2.25,90.46,3.36
4,002577,雷柏科技,15.19,9.99,1.38,47700.0,70843016.0,10.35,15.19,13.76,13.76,13.81,1.69,240.97,3.78
5,002512,达华智能,3.86,9.97,0.35,615320.0,232931805.09,8.55,3.86,3.56,3.57,3.51,5.87,239.52,5.83
6,002236,大华股份,23.47,8.81,1.9,1030532.0,2364857620.17,8.95,23.66,21.73,22.0,21.57,5.26,39.4,2.47
7,603516,淳中科技,21.96,8.71,1.76,152796.0,330413483.0,11.09,22.18,19.94,20.13,20.2,8.25,-84.41,4.33
8,001339,智微智能,25.94,7.86,1.89,91977.0,235203469.86,8.57,26.2,24.14,24.15,24.05,14.9,44.97,3.41
9,600100,同方股份,8.3,6.96,0.54,1695160.0,1380481440.0,8.38,8.35,7.7,7.7,7.76,5.72,25.15,1.83
10,603106,恒银科技,5.55,6.73,0.35,80819.0,44045144.0,8.27,5.66,5.23,5.24,5.2,1.55,-24.34,2.0
11,300884,狄耐克,13.86,6.7,0.87,63585.0,86479988.7,8.01,13.92,12.88,12.9,12.99,4.39,63.32,2.58
12,300546,雄帝科技,24.34,6.61,1.51,64739.0,155336773.3,6.26,24.48,23.05,23.05,22.83,6.63,234.73,3.18
13,002308,威创股份,4.99,6.4,0.3,243776.0,119229839.87,7.89,5.05,4.68,4.69,4.69,2.72,78.36,2.27
14,300270,中威电子,6.77,6.28,0.4,55594.0,36966721.0,6.75,6.79,6.36,6.37,6.37,2.49,1486.29,2.72
15,300551,古鳌科技,18.2,5.69,0.98,160130.0,288259429.09,7.9,18.48,17.12,17.12,17.22,6.8,-104.13,5.95
16,603019,中科曙光,50.7,5.38,2.59,1567780.0,7816419371.0,6.46,51.08,47.97,48.0,48.11,10.81,141.69,4.32
17,300368,汇金股份,6.67,5.37,0.34,138907.0,91011904.0,6.79,6.69,6.26,6.33,6.33,2.68,311.46,5.86
18,300045,华力创通,8.39,5.14,0.41,155809.0,129540053.0,4.76,8.41,8.03,8.03,7.98,3.16,675.18,3.23
