序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,002926,华西证券,8.84,9.81,0.79,1401341,1227255504.8,9.44,8.86,8.1,8.14,8.05,5.34,14.42,1.02
2,601881,中国银河,10.78,9.0,0.89,1475175,1568866314.0,9.0,10.88,9.99,10.08,9.89,2.29,12.15,1.22
3,601162,天风证券,3.14,6.8,0.2,4747547,1470412174.0,7.48,3.21,2.99,3.0,2.94,5.48,12.43,1.15
4,600095,湘财股份,8.39,6.07,0.48,681797,570286469.0,6.57,8.59,8.07,8.09,7.91,6.01,39.23,1.98
5,002500,山西证券,5.88,5.38,0.3,598338,349551551.08,5.38,5.95,5.65,5.67,5.58,1.67,21.06,1.2
6,600155,华创阳安,6.85,4.58,0.3,376222,255607188.0,5.19,6.95,6.61,6.62,6.55,2.16,28.73,0.8
7,601108,财通证券,7.75,4.45,0.33,994884,767221765.0,6.06,7.88,7.43,7.47,7.42,2.14,18.2,1.09
8,601236,红塔证券,8.25,4.43,0.35,319202,260477786.0,4.94,8.3,7.91,7.95,7.9,0.68,43.16,1.68
9,600061,国投资本,7.27,4.15,0.29,488925,352452463.0,5.44,7.33,6.95,7.02,6.98,0.76,13.49,0.95
10,601198,东兴证券,8.33,3.74,0.3,707536,589476356.0,6.48,8.58,8.06,8.06,8.03,2.19,30.68,1.02
11,000750,国海证券,3.49,3.56,0.12,633766,219321609.4,3.26,3.5,3.39,3.4,3.37,1.16,20.99,1.01
12,600909,华安证券,4.99,3.53,0.17,611987,303901971.0,3.73,5.02,4.84,4.85,4.82,1.3,16.09,1.17
13,601099,太平洋,2.72,3.42,0.09,1267098,343221893.0,2.66,2.73,2.66,2.67,2.63,1.86,31.12,1.98
14,601136,首创证券,13.31,3.1,0.4,214668,284856832.0,3.56,13.5,13.04,13.16,12.91,7.85,51.71,2.96
15,002797,第一创业,5.92,2.96,0.17,482430,283290149.54,3.3,5.94,5.75,5.76,5.75,1.17,44.15,1.69
16,002939,长城证券,8.73,2.95,0.25,617673,537693988.96,4.36,8.86,8.49,8.59,8.48,1.77,19.53,1.26
17,601878,浙商证券,10.22,2.92,0.29,398709,405188895.0,3.93,10.33,9.94,9.95,9.93,1.03,20.31,1.53
18,600864,哈投股份,5.24,2.75,0.14,331882,172318713.0,3.53,5.25,5.07,5.1,5.1,1.6,13.81,0.89
19,600906,财达证券,7.57,2.71,0.2,182298,136973106.0,2.58,7.59,7.4,7.4,7.37,1.39,30.34,2.17
20,600369,西南证券,3.84,2.67,0.1,840341,320670777.0,3.74,3.89,3.75,3.75,3.74,1.49,28.28,1.01
21,601375,中原证券,3.96,2.59,0.1,630736,248205277.0,3.37,3.98,3.85,3.85,3.86,1.83,65.2,1.33
22,000776,广发证券,15.34,2.54,0.38,690974,1053894625.87,2.81,15.43,15.01,15.04,14.96,1.17,13.55,1.05
23,002736,国信证券,9.41,2.51,0.23,235883,220683693.02,3.38,9.47,9.16,9.2,9.18,0.27,12.79,1.14
24,601066,中信建投,25.3,2.43,0.6,168301,423669506.0,2.51,25.45,24.83,25.05,24.7,0.44,20.17,2.77
25,002670,国盛金控,8.18,2.38,0.19,144815,118267563.5,2.88,8.25,8.02,8.05,7.99,0.89,87.6,1.44
26,600837,海通证券,9.27,2.32,0.21,533841,492674448.0,2.87,9.31,9.05,9.07,9.06,0.6,12.44,0.72
27,601696,中银证券,10.73,2.29,0.24,269689,287849296.0,2.19,10.76,10.53,10.53,10.49,0.97,29.5,1.79
28,601688,华泰证券,14.05,2.26,0.31,759791,1062023246.0,3.49,14.19,13.71,13.73,13.74,1.04,9.82,0.86
29,601901,方正证券,7.0,2.19,0.15,314766,219261814.0,2.92,7.05,6.85,6.88,6.85,0.38,25.91,1.32
30,000728,国元证券,7.0,2.19,0.15,1116420,780602758.14,4.09,7.13,6.85,6.88,6.85,2.56,14.69,0.91
31,000783,长江证券,5.67,2.16,0.12,592834,336363248.69,3.78,5.76,5.55,5.57,5.55,1.07,10.37,1.02
32,601990,南京证券,8.58,2.14,0.18,266614,227922302.0,2.26,8.61,8.42,8.42,8.4,0.74,36.5,1.88
33,600621,华鑫股份,11.09,2.12,0.23,93415,103432151.0,3.22,11.19,10.84,10.94,10.86,0.88,33.9,1.56
34,601456,国联证券,10.28,2.09,0.21,238665,244811825.0,2.48,10.35,10.1,10.12,10.07,2.41,35.1,1.68
35,000712,锦龙股份,13.58,2.03,0.27,41373,55913815.39,2.1,13.62,13.34,13.4,13.31,0.46,-1223.92,4.27
36,002673,西部证券,6.7,1.98,0.13,479093,318935928.71,3.2,6.72,6.51,6.56,6.57,1.17,20.89,1.09
37,601211,国泰君安,15.12,1.96,0.29,376568,568363297.0,3.37,15.27,14.77,14.86,14.83,0.51,11.07,0.93
38,600999,招商证券,13.97,1.9,0.26,192776,268964921.0,2.92,14.1,13.7,13.75,13.71,0.26,13.44,1.19
39,601059,信达证券,14.62,1.53,0.22,236311,345629039.0,2.36,14.82,14.48,14.61,14.4,7.29,54.9,2.86
40,002945,华林证券,13.75,1.48,0.2,126130,173661808.8,2.36,13.92,13.6,13.62,13.55,0.47,147.57,5.81
41,000686,东北证券,7.62,1.46,0.11,871703,665374131.31,4.93,7.82,7.45,7.56,7.51,3.72,11.94,0.97
42,601788,光大证券,15.16,1.4,0.21,419111,636456641.0,2.07,15.33,15.02,15.14,14.95,1.07,18.25,1.26
43,601555,东吴证券,7.24,1.4,0.1,1031850,749542238.0,3.08,7.38,7.16,7.16,7.14,2.06,15.54,0.93
44,601995,中金公司,42.08,1.4,0.58,156538,656916903.0,3.37,42.6,41.2,41.4,41.5,1.68,22.5,2.39
45,000166,申万宏源,4.52,1.35,0.06,1074125,484609048.85,2.69,4.56,4.44,4.46,4.46,0.48,14.07,1.16
46,600958,东方证券,10.71,1.13,0.12,1358158,1457318202.0,3.78,10.92,10.52,10.79,10.59,1.82,15.93,1.23
47,601377,兴业证券,6.72,0.75,0.05,1706272,1132628400.0,5.25,6.79,6.44,6.6,6.67,1.98,17.51,1.09
48,600109,国金证券,9.39,0.32,0.03,883088,829763918.0,3.21,9.54,9.24,9.36,9.36,2.75,14.63,1.1
49,600918,中泰证券,7.47,0.27,0.02,874657,656274457.0,3.09,7.61,7.38,7.51,7.45,3.35,11.29,1.43
50,600030,中信证券,21.02,-0.05,-0.01,1268279,2658143470.0,3.33,21.23,20.53,20.78,21.03,1.12,14.38,1.27
