序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,000975,银泰黄金,12.86,5.07,0.62,710342,899905616.06,8.91,13.1,12.01,12.04,12.24,2.9,30.12,3.42
2,002716,金贵银业,3.19,1.59,0.05,274467,86792886.75,3.18,3.2,3.1,3.14,3.14,1.26,-346.75,3.84
3,001337,四川黄金,37.82,0.56,0.21,176768,659511554.16,7.44,38.59,35.79,36.41,37.61,29.46,64.2,12.27
4,002237,恒邦股份,12.26,0.49,0.06,128885,156591167.44,3.03,12.28,11.91,12.06,12.2,1.42,28.56,1.67
5,600988,赤峰黄金,16.57,0.24,0.04,188380,310489285.0,2.0,16.6,16.27,16.39,16.53,1.13,91.58,5.3
6,000506,中润资源,4.73,0.21,0.01,702366,326410728.96,5.72,4.77,4.5,4.55,4.72,7.56,-28.99,7.26
7,601899,紫金矿业,12.83,0.08,0.01,1453621,1862171128.0,3.35,12.98,12.55,12.55,12.82,0.71,15.52,3.53
8,600489,中金黄金,11.92,-0.08,-0.01,734411,872402701.0,3.44,12.02,11.61,11.71,11.93,1.68,24.29,2.18
9,600547,山东黄金,25.7,-1.0,-0.26,302803,773969036.0,2.81,25.8,25.07,25.51,25.96,0.84,65.49,4.96
10,002155,湖南黄金,15.0,-1.32,-0.2,266615,396010830.85,2.63,15.03,14.63,14.91,15.2,2.22,42.35,3.03
11,601069,西部黄金,14.44,-1.7,-0.25,97873,138969964.0,4.97,14.49,13.76,14.22,14.69,1.54,-54.09,2.84
