序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,603003,龙宇股份,8.93,8.64,0.71,121093,106444734.0,8.15,8.99,8.32,8.32,8.22,3.01,30.93,0.99
2,300975,商络电子,6.31,5.87,0.35,79191,49060996.05,6.38,6.35,5.97,5.97,5.96,2.45,49.12,2.34
3,300184,力源信息,4.74,3.72,0.17,192639,90196763.23,4.16,4.75,4.56,4.56,4.57,1.84,40.79,1.54
4,000829,天音控股,11.02,3.67,0.39,222622,243041057.5,4.7,11.08,10.58,10.59,10.63,2.17,46.78,4.28
5,000151,中成股份,12.31,3.62,0.43,117776,143414117.7,5.47,12.39,11.74,11.82,11.88,4.42,-30.92,6.19
6,600250,南纺股份,5.57,3.53,0.19,24799,13655214.0,4.28,5.59,5.36,5.41,5.38,0.87,66.43,3.11
7,002640,跨境通,4.12,3.52,0.14,467524,191484789.58,4.52,4.17,3.99,3.99,3.98,3.37,1305.6,4.37
8,001287,中电港,25.53,3.32,0.82,266168,672582948.03,3.8,25.69,24.75,24.75,24.71,14.44,68.15,3.92
9,002127,南极电商,4.4,3.29,0.14,566207,249500289.15,3.76,4.46,4.3,4.33,4.26,2.84,75.74,2.44
10,601028,玉龙股份,12.14,3.06,0.36,155043,186103724.0,3.48,12.16,11.75,11.78,11.78,1.98,16.6,3.28
11,600128,弘业股份,8.18,2.89,0.23,37600,30492653.0,3.77,8.21,7.91,7.95,7.95,1.52,89.15,0.96
12,600149,廊坊发展,5.46,2.82,0.15,38692,20923329.0,3.58,5.48,5.29,5.31,5.31,1.02,-151.09,13.08
13,600647,同达创业,12.49,2.8,0.34,24454,30447402.0,4.69,12.63,12.06,12.06,12.15,1.76,-319.87,5.91
14,837242,建邦科技,8.45,2.8,0.23,703,588900.72,4.99,8.49,8.08,8.31,8.22,0.21,13.97,1.1
15,900927,物贸Ｂ股,0.409,2.76,0.011,1335,54125.0,2.51,0.41,0.4,0.4,0.398,0.13,2.49,1.21
16,000626,远大控股,8.11,2.66,0.21,34274,27504379.28,2.78,8.13,7.91,7.91,7.9,0.69,65.91,1.37
17,600739,辽宁成大,12.98,2.29,0.29,103968,134279247.0,3.07,13.04,12.65,12.67,12.69,0.68,16.35,0.68
18,600608,ST沪科,4.54,2.25,0.1,16861,7586959.0,2.03,4.54,4.45,4.46,4.44,0.53,2137.43,22.73
19,600753,庚星股份,10.46,2.25,0.23,27271,28353457.0,3.13,10.5,10.18,10.23,10.23,1.27,-93.97,8.6
20,000019,深粮控股,7.59,2.02,0.15,41093,31012706.7,1.88,7.61,7.47,7.47,7.44,0.99,20.74,1.8
21,600822,上海物贸,8.2,1.99,0.16,36733,29960467.0,2.74,8.24,8.02,8.02,8.04,0.93,7.26,3.53
22,600826,兰生股份,10.27,1.88,0.19,73791,75048828.0,4.17,10.3,9.88,10.01,10.08,1.77,-153.45,1.54
23,600278,东方创业,7.05,1.88,0.13,42708,29893837.0,2.75,7.07,6.88,6.89,6.92,0.63,18.72,0.87
24,301099,雅创电子,48.13,1.75,0.83,21347,101827910.0,2.96,48.44,47.04,47.44,47.3,7.38,90.24,3.89
25,600058,五矿发展,9.98,1.73,0.17,66602,65936461.0,2.55,10.0,9.75,9.77,9.81,0.62,82.36,2.21
26,832149,利尔达,4.51,1.58,0.07,5619,2512498.67,2.03,4.51,4.42,4.47,4.44,0.51,62.13,2.22
27,601061,中信金属,8.02,1.52,0.12,262539,209414335.0,1.77,8.03,7.89,7.9,7.9,5.4,18.1,1.9
28,600755,厦门国贸,9.11,1.33,0.12,327608,295771106.0,2.78,9.13,8.88,8.98,8.99,1.61,6.78,0.93
29,002505,鹏都农牧,2.38,1.28,0.03,969635,227877438.91,4.26,2.39,2.29,2.31,2.35,1.52,-96.02,2.9
30,600981,汇鸿集团,2.8,1.08,0.03,309244,86488635.0,1.81,2.82,2.77,2.78,2.77,1.38,15.8,1.23
31,600710,苏美达,6.97,1.01,0.07,209003,145143323.0,2.03,7.01,6.87,6.88,6.9,1.6,9.01,1.4
32,300755,华致酒行,27.0,0.86,0.23,23179,62558708.78,2.84,27.36,26.6,26.7,26.77,0.56,27.8,3.01
33,600327,大东方,4.89,0.82,0.04,164592,79606576.0,3.09,4.9,4.75,4.79,4.85,1.86,42.01,1.34
34,001316,润贝航科,35.2,0.57,0.2,7648,26882767.0,1.74,35.38,34.77,34.8,35.0,3.82,27.91,2.64
35,000061,农 产 品,6.44,0.47,0.03,197622,126944459.32,2.96,6.53,6.34,6.42,6.41,1.16,31.35,1.87
36,002091,江苏国泰,8.18,0.25,0.02,83202,67751527.98,1.35,8.19,8.08,8.11,8.16,0.53,10.66,0.95
37,603071,物产环能,17.35,0.23,0.04,24952,43245729.0,1.27,17.42,17.2,17.41,17.31,1.05,7.85,1.99
38,600153,建发股份,12.13,-0.08,-0.01,159769,193744694.0,1.98,12.25,12.01,12.22,12.14,0.56,11.45,0.78
39,600301,南化股份,17.88,-0.5,-0.09,48531,87031402.0,3.56,18.23,17.59,18.18,17.97,3.04,35.12,5.27
