序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,300081,恒信东方,7.58,13.81,0.92,519604.0,378821424.24,14.56,7.7,6.73,6.75,6.66,10.56,-53.23,2.53
2,688081,兴图新科,21.35,11.66,2.23,25436.0,53819743.0,14.75,22.14,19.32,19.32,19.12,3.46,6590.92,2.63
3,300578,会畅通讯,20.55,11.44,2.11,128986.0,260502564.23,15.51,21.3,18.44,18.71,18.44,6.64,-609.68,2.5
4,300025,华星创业,11.12,10.98,1.1,738693.0,800476762.29,22.75,11.9,9.62,9.96,10.02,17.24,-252.29,8.33
5,300292,吴通控股,3.82,10.09,0.35,916689.0,339064541.74,10.66,3.84,3.47,3.47,3.47,8.21,62.89,3.99
6,603322,超讯通信,29.94,9.99,2.72,117616.0,339971233.0,10.95,29.94,26.96,27.0,27.22,7.55,-59.18,22.79
7,301139,元道通信,29.19,7.79,2.11,28226.0,80874522.78,9.34,29.57,27.04,27.34,27.08,9.28,41.43,1.9
8,300959,线上线下,35.4,7.18,2.37,31526.0,109410669.89,8.6,35.66,32.82,33.03,33.03,8.48,55.9,2.39
9,300310,宜通世纪,4.2,7.14,0.28,273739.0,112335651.6,7.65,4.21,3.91,3.92,3.92,3.96,726.93,2.02
10,603220,中贝通信,14.04,6.69,0.88,102648.0,142950522.0,8.89,14.25,13.08,13.12,13.16,3.07,51.66,2.66
11,300603,立昂技术,11.55,6.35,0.69,153387.0,174078206.5,7.0,11.58,10.82,10.82,10.86,6.06,58.42,3.59
12,002148,北纬科技,6.22,6.32,0.37,347711.0,212580854.24,7.01,6.27,5.86,5.89,5.85,7.7,609.3,2.91
13,300560,中富通,15.32,5.8,0.84,92387.0,139452540.0,4.97,15.47,14.75,14.8,14.48,5.41,57.43,3.09
14,002544,普天科技,22.11,5.74,1.2,73772.0,159810223.07,6.7,22.15,20.75,20.76,20.91,1.11,172.96,3.97
15,000889,ST中嘉,1.86,5.08,0.09,84704.0,15713308.38,1.69,1.86,1.83,1.83,1.77,0.97,-63.5,6.84
16,300921,南凌科技,21.2,5.05,1.02,46382.0,97656425.64,7.09,21.42,19.99,20.0,20.18,7.54,77.46,3.32
17,300183,东软载波,14.78,5.05,0.71,105717.0,154776192.62,4.83,14.83,14.15,14.17,14.07,3.15,124.84,2.16
18,300597,吉大通信,8.78,5.02,0.42,51672.0,44730584.94,5.38,8.82,8.37,8.37,8.36,2.36,116.59,2.23
19,002467,二六三,5.26,4.78,0.24,449293.0,233578382.03,5.18,5.3,5.04,5.05,5.02,3.31,91.86,3.19
20,002929,润建股份,42.55,4.65,1.89,39639.0,166633949.01,5.58,42.65,40.38,40.38,40.66,2.46,17.72,2.27
21,300050,世纪鼎利,4.14,4.55,0.18,145197.0,59366089.0,5.81,4.18,3.95,3.96,3.96,2.85,-45.19,3.44
22,002231,奥维通信,6.57,4.12,0.26,124244.0,80207513.91,7.13,6.6,6.15,6.2,6.31,4.21,255.45,6.47
23,002093,国脉科技,7.77,4.02,0.3,217436.0,167445667.7,5.09,7.79,7.41,7.47,7.47,2.16,45.69,2.18
24,300513,恒实科技,12.9,3.95,0.49,97763.0,125017960.52,4.83,12.93,12.33,12.33,12.41,3.62,48.46,1.7
25,300211,亿通科技,8.68,3.83,0.32,48607.0,41814945.5,4.19,8.71,8.36,8.39,8.36,1.63,-145.55,5.08
26,300736,百邦科技,11.28,3.58,0.39,33212.0,37305345.0,4.41,11.37,10.89,10.89,10.89,2.59,876.75,11.64
27,002123,梦网科技,15.0,3.16,0.46,284273.0,426244793.32,4.88,15.22,14.51,14.54,14.54,4.16,273.24,3.5
28,603602,纵横通信,12.42,3.16,0.38,26422.0,32617688.0,3.57,12.49,12.06,12.08,12.04,1.3,-75.89,3.46
29,601698,中国卫通,17.87,2.94,0.51,543795.0,965378692.0,3.05,17.96,17.43,17.43,17.36,1.29,133.46,4.96
30,601728,中国电信,6.69,2.45,0.16,2535570.0,1685319846.0,3.06,6.71,6.51,6.54,6.53,1.29,19.17,1.39
31,688682,霍莱沃,86.5,2.38,2.01,4372.0,37843112.0,3.37,87.65,84.8,84.8,84.49,1.41,268.1,6.9
32,600941,中国移动,101.12,1.73,1.72,122433.0,1227804347.0,2.85,101.6,98.77,99.0,99.4,1.61,19.25,1.68
33,600050,中国联通,5.44,1.68,0.09,2637710.0,1423296340.0,2.24,5.45,5.33,5.35,5.35,0.85,19.09,1.1
34,600289,ST信通,2.75,1.48,0.04,28791.0,7836534.0,4.8,2.76,2.63,2.69,2.71,0.51,-8.8,1.25
35,002908,德生科技,20.83,1.46,0.3,101190.0,210424007.57,2.73,21.08,20.52,20.53,20.53,4.73,103.39,5.62
36,603559,中通国脉,,,,,,,,,,10.73,0.0,-17.61,4.42
37,000971,ST高升,1.87,0.0,0.0,64526.0,12039139.6,2.14,1.88,1.84,1.86,1.87,0.77,-6.88,8.2
38,600804,ST鹏博士,5.32,-0.93,-0.05,480525.0,256549709.0,4.28,5.45,5.22,5.34,5.37,3.45,60.72,7.99
39,603421,鼎信通讯,9.32,-0.96,-0.09,74402.0,69341376.0,3.51,9.5,9.17,9.3,9.41,1.14,-26.12,1.86
40,300571,平治信息,34.72,-5.4,-1.98,136521.0,463082198.5,9.81,35.12,31.52,31.52,36.7,11.81,69.88,2.97
