序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,300154,瑞凌股份,6.92,13.26,0.81,276627.0,186409516.04,13.58,7.07,6.24,6.24,6.11,8.66,20.77,1.86
2,300228,富瑞特装,5.58,10.06,0.51,345389.0,191667740.37,7.89,5.67,5.27,5.36,5.07,6.36,295.57,1.85
3,688433,华曙高科,26.52,8.07,1.98,67795.0,177196455.0,8.15,26.84,24.84,25.05,24.54,19.62,134.21,6.06
4,301317,鑫磊股份,24.08,7.5,1.68,27172.0,64295646.58,9.82,24.5,22.3,22.3,22.4,7.29,53.1,3.38
5,872808,曙光数创,136.51,7.48,9.5,34795.0,452366714.7,16.68,139.19,118.0,119.48,127.01,13.51,43.97,16.82
6,002760,凤形股份,25.5,7.05,1.68,77760.0,194900754.0,9.87,25.88,23.53,23.82,23.82,8.84,50.82,2.75
7,300345,华民股份,9.08,6.45,0.55,86925.0,76363665.4,8.09,9.09,8.4,8.46,8.53,1.97,238.76,5.24
8,300990,同飞股份,100.77,6.07,5.77,23058.0,227555118.78,9.46,102.0,93.01,93.01,95.0,9.85,83.16,5.67
9,603315,福鞍股份,13.52,5.79,0.74,27873.0,36853085.0,6.03,13.55,12.78,12.85,12.78,0.91,99.45,2.87
10,002438,江苏神通,12.38,5.72,0.67,83598.0,102486084.32,4.95,12.42,11.84,11.96,11.71,1.78,20.68,2.07
11,002426,胜利精密,2.06,5.64,0.11,632447.0,128845536.6,6.15,2.07,1.95,1.96,1.95,2.01,-23.07,1.68
12,002685,华东重机,3.67,5.46,0.19,195935.0,71215821.26,6.03,3.7,3.49,3.49,3.48,2.41,36.79,1.63
13,688448,磁谷科技,26.03,5.38,1.33,15043.0,38555708.0,8.74,26.16,24.0,24.41,24.7,8.89,-379.22,1.98
14,300420,五洋停车,2.92,5.04,0.14,300521.0,86958692.54,5.76,2.94,2.78,2.78,2.78,2.95,95.7,1.35
15,002514,宝馨科技,8.9,4.46,0.38,164345.0,144717048.59,4.58,8.97,8.58,8.6,8.52,2.97,156.75,5.56
16,002931,锋龙股份,10.15,4.42,0.43,13660.0,13709888.96,5.97,10.35,9.77,9.79,9.72,0.76,595.97,3.09
17,833943,优机股份,8.88,4.35,0.37,9568.0,8514990.35,4.94,9.12,8.7,8.7,8.51,5.54,12.09,1.34
18,603277,银都股份,19.5,4.33,0.81,28130.0,55229751.0,7.7,20.14,18.7,18.7,18.69,0.68,21.04,3.12
19,002347,泰尔股份,4.85,4.3,0.2,113396.0,54250639.0,4.73,4.86,4.64,4.65,4.65,3.39,229.3,1.97
20,300464,星徽股份,5.92,4.23,0.24,65188.0,38150785.0,5.28,5.93,5.63,5.66,5.68,2.09,112.43,12.72
21,688379,华光新材,19.31,4.21,0.78,23794.0,44413046.0,7.23,19.36,18.02,18.14,18.53,5.1,52.22,1.89
22,002158,汉钟精机,24.5,4.17,0.98,87215.0,215859609.6,5.1,25.36,24.16,24.16,23.52,1.64,28.12,4.14
23,002896,中大力德,21.7,4.03,0.84,31032.0,66745435.79,3.31,21.75,21.06,21.07,20.86,2.05,54.4,3.08
24,002150,通润装备,18.47,3.94,0.7,92791.0,169342505.22,6.19,18.75,17.65,17.8,17.77,2.61,111.82,4.15
25,002639,雪人股份,7.97,3.78,0.29,109980.0,86878335.66,2.99,7.99,7.76,7.76,7.68,1.69,282.22,2.48
26,300853,申昊科技,32.16,3.74,1.16,81603.0,254135752.0,9.45,32.59,29.66,30.54,31.0,8.76,20.73,3.77
27,002903,宇环数控,23.95,3.63,0.84,54077.0,127166800.14,5.06,24.08,22.91,23.09,23.11,5.46,46.4,4.65
