序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,002117,东港股份,9.15,6.64,0.57,219774,197070774.3,7.46,9.18,8.54,8.58,8.58,4.03,26.9,3.18
2,603863,松炀资源,16.49,4.1,0.65,66696,109158095.0,5.24,16.58,15.75,15.9,15.84,3.26,-32.43,3.88
3,002229,鸿博股份,17.66,3.88,0.66,1781906,3239567778.95,7.06,18.7,17.5,18.4,17.0,36.13,-120.55,5.56
4,000815,美利云,11.86,3.76,0.43,191425,224853264.4,3.5,11.9,11.5,11.5,11.43,2.75,-301.29,4.39
5,600356,恒丰纸业,7.73,3.07,0.23,33679,25810496.0,3.2,7.74,7.5,7.5,7.5,1.13,22.97,0.95
6,300883,龙利得,5.96,2.94,0.17,34645,20472460.56,2.76,5.96,5.8,5.82,5.79,1.46,96.71,1.44
7,833394,民士达,12.41,2.73,0.33,67209,83209031.3,6.29,12.78,12.02,12.35,12.08,19.03,25.99,3.22
8,605377,华旺科技,20.23,2.59,0.51,42292,84446592.0,3.4,20.27,19.6,19.72,19.72,2.51,15.63,1.81
9,600235,民丰特纸,5.27,2.53,0.13,32325,16955720.0,2.92,5.29,5.14,5.14,5.14,0.92,137.19,1.31
10,600103,青山纸业,2.59,2.37,0.06,483607,124262005.0,3.56,2.6,2.51,2.52,2.53,2.1,25.04,1.52
11,605500,森林包装,10.2,2.31,0.23,8447,8519889.0,2.61,10.23,9.97,9.97,9.97,1.11,48.47,1.28
12,002521,齐峰新材,5.41,2.08,0.11,32946,17708181.7,2.26,5.43,5.31,5.33,5.3,0.82,-365.17,0.76
13,603058,永吉股份,11.13,1.92,0.21,78409,87087593.0,3.57,11.2,10.81,10.81,10.92,1.89,37.73,4.37
14,603607,京华激光,13.81,1.84,0.25,9463,13000170.0,1.92,13.85,13.59,13.59,13.56,0.53,22.55,2.39
15,600793,宜宾纸业,11.95,1.7,0.2,12721,15098335.0,1.96,11.97,11.74,11.75,11.75,0.72,82.14,3.18
16,600433,冠豪高新,3.81,1.6,0.06,94638,35813711.0,1.87,3.82,3.75,3.75,3.75,0.66,221.78,1.33
17,002067,景兴纸业,3.4,1.19,0.04,68943,23251710.4,2.98,3.41,3.31,3.35,3.36,0.65,95.74,0.75
18,603165,荣晟环保,14.1,1.15,0.16,22797,32079261.0,2.51,14.28,13.93,14.04,13.94,0.82,12.04,1.9
19,603499,翔港科技,8.99,1.01,0.09,15688,13937824.0,4.04,9.04,8.68,8.72,8.9,0.78,109.41,3.14
20,000488,晨鸣纸业,5.03,1.0,0.05,73029,36683123.52,1.81,5.05,4.96,4.96,4.98,0.43,-13.61,0.84
21,002836,新宏泽,9.38,0.97,0.09,18784,17501266.24,3.12,9.48,9.19,9.45,9.29,0.98,131.98,4.06
22,600567,山鹰国际,2.37,0.85,0.02,148258,35040710.0,1.7,2.38,2.34,2.35,2.35,0.32,-8.01,0.86
23,600308,华泰股份,5.16,0.78,0.04,68448,35278788.0,1.37,5.18,5.11,5.12,5.12,0.63,13.09,0.61
24,833075,柏星龙,9.27,0.65,0.06,1249,1132951.92,2.93,9.27,9.0,9.11,9.21,0.6,18.81,1.52
25,603429,集友股份,9.44,0.64,0.06,27915,26178692.0,1.39,9.45,9.32,9.41,9.38,0.53,35.9,3.39
26,002012,凯恩股份,5.85,0.52,0.03,161888,94608772.87,2.41,5.91,5.77,5.8,5.82,3.47,13.85,1.77
27,871553,凯腾精工,3.22,0.31,0.01,75,24291.34,3.12,3.26,3.16,3.2,3.21,0.01,37.66,1.37
28,605007,五洲特纸,17.23,0.0,0.0,29307,50592134.0,3.19,17.65,17.1,17.11,17.23,3.54,-57.86,3.41
29,200488,晨  鸣Ｂ,2.2,0.0,0.0,11577,2533365.0,1.36,2.21,2.18,2.19,2.2,0.16,-5.21,0.32
30,000695,滨海能源,14.73,0.0,0.0,7027,10329599.0,1.56,14.83,14.6,14.74,14.73,0.32,-34.6,18.41
31,600963,岳阳林纸,7.02,-0.43,-0.03,291535,200229193.0,7.09,7.05,6.55,6.86,7.05,1.65,36.19,1.36
32,002831,裕同科技,25.33,-0.51,-0.13,91481,230510245.59,3.1,25.56,24.77,25.42,25.46,1.76,32.49,2.27
33,002078,太阳纸业,11.39,-0.52,-0.06,243968,276593526.04,2.97,11.54,11.2,11.45,11.45,0.89,14.07,1.35
34,600966,博汇纸业,6.39,-0.78,-0.05,62731,40166623.0,1.71,6.48,6.37,6.4,6.44,0.47,-4.3,1.42
35,603733,仙鹤股份,24.24,-2.81,-0.7,39371,96967703.0,4.37,25.19,24.1,24.87,24.94,0.56,35.03,2.54
