序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,600197,伊力特,25.72,10.01,2.34,168398.0,430911522.0,3.51,25.72,24.9,25.3,23.38,3.57,20.44,3.23
2,000869,张  裕Ａ,31.01,5.33,1.57,53365.0,165114866.31,6.96,31.65,29.6,29.7,29.44,1.18,19.2,1.96
3,600559,老白干酒,32.23,3.63,1.13,273438.0,874673248.0,5.5,32.68,30.97,31.0,31.1,3.05,72.0,6.6
4,600616,金枫酒业,7.35,2.94,0.21,88478.0,64449381.0,3.5,7.36,7.11,7.14,7.14,1.32,9.24,2.41
5,603589,口子窖,60.11,2.93,1.71,76288.0,455614993.0,2.79,60.24,58.61,58.8,58.4,1.27,16.83,3.82
6,000752,*ST西发,3.94,2.87,0.11,14834.0,5811435.78,3.39,3.96,3.83,3.83,3.83,0.56,-38.05,-27.63
7,601579,会稽山,11.57,2.84,0.32,63504.0,72932988.0,2.58,11.57,11.28,11.28,11.25,1.32,17.47,1.47
8,603198,迎驾贡酒,64.01,2.66,1.66,58509.0,370215565.0,4.01,64.15,61.65,62.85,62.35,0.73,18.29,6.71
9,600365,ST通葡,3.25,2.52,0.08,18724.0,6023021.0,3.79,3.26,3.14,3.15,3.17,0.47,-38.27,4.17
10,200869,张  裕Ｂ,11.77,2.35,0.27,8220.0,9685311.24,4.0,12.0,11.54,11.56,11.5,0.35,6.38,0.65
11,600702,舍得酒业,182.86,2.31,4.12,63925.0,1176052833.0,6.01,188.75,178.0,179.0,178.74,1.93,26.75,8.81
12,000929,兰州黄河,9.39,2.18,0.2,45486.0,42404189.0,2.39,9.39,9.17,9.18,9.19,2.45,-146.35,2.73
13,600059,古越龙山,9.9,1.96,0.19,78383.0,77250482.0,2.57,9.94,9.69,9.69,9.71,0.86,38.33,1.63
14,600809,山西汾酒,248.46,1.78,4.34,84469.0,2127043787.0,3.88,256.76,247.3,252.0,244.12,0.69,15.72,11.59
15,000995,*ST皇台,18.55,1.53,0.28,27743.0,51496962.04,3.07,18.8,18.24,18.27,18.27,1.56,334.08,24.08
16,002461,珠江啤酒,9.37,1.41,0.13,122293.0,113998497.44,3.03,9.48,9.2,9.23,9.24,0.55,59.74,2.14
17,000596,古井贡酒,273.74,1.39,3.76,12951.0,354897588.64,2.71,278.11,270.8,272.7,269.98,0.32,23.05,7.21
18,600779,水井坊,65.55,1.36,0.88,55552.0,363035728.0,2.01,66.0,64.7,64.7,64.67,1.14,50.18,8.83
19,000799,酒鬼酒,111.79,1.36,1.5,63833.0,711591614.7,2.48,112.83,110.1,110.5,110.29,1.96,30.25,8.16
20,600696,岩石股份,25.41,1.24,0.31,8601.0,21840998.0,3.11,25.66,24.88,24.88,25.1,0.26,68.46,15.54
21,600573,惠泉啤酒,12.56,1.21,0.15,84962.0,106242104.0,2.34,12.6,12.31,12.37,12.41,3.4,874.07,2.59
22,603919,金徽酒,25.63,1.14,0.29,51439.0,131792679.0,2.25,25.92,25.35,25.35,25.34,1.01,17.88,3.9
23,002304,洋河股份,149.7,0.95,1.41,61974.0,924422891.29,1.92,150.84,148.0,148.21,148.29,0.41,9.78,4.23
24,002646,天佑德酒,14.36,0.7,0.1,59331.0,85127178.85,2.03,14.53,14.24,14.27,14.26,1.26,21.99,2.39
25,001338,永顺泰,16.9,0.54,0.09,67138.0,113152173.04,2.02,16.99,16.65,16.65,16.81,5.35,60.48,2.6
26,600084,中葡股份,7.81,0.51,0.04,30608.0,23836104.0,1.16,7.83,7.74,7.77,7.77,0.27,186.93,6.81
27,000568,泸州老窖,226.24,0.31,0.7,76256.0,1728325423.04,2.19,228.99,224.05,226.79,225.54,0.52,22.43,8.78
28,600600,青岛啤酒,116.8,0.16,0.19,51919.0,602701663.0,1.7,117.09,115.11,116.6,116.61,0.74,27.45,5.9
29,600519,贵州茅台,1760.52,0.15,2.6,26225.0,4636084177.0,1.64,1782.77,1753.97,1763.01,1757.92,0.21,26.59,10.13
30,200596,古井贡Ｂ,139.1,0.07,0.1,882.0,12339169.91,2.47,141.87,138.43,139.34,139.0,0.07,10.25,3.21
31,600543,莫高股份,,,,,,,,,,5.19,0.0,-116.04,1.74
32,002568,百润股份,40.98,-0.02,-0.01,157831.0,667203856.54,10.2,44.18,40.0,42.67,40.99,2.2,57.27,11.38
33,000729,燕京啤酒,13.09,-0.08,-0.01,207252.0,269616114.86,3.36,13.29,12.85,13.07,13.1,0.83,142.86,2.73
34,000858,五 粮 液,169.0,-0.1,-0.17,179386.0,3038219039.74,2.41,171.95,167.88,171.26,169.17,0.46,13.08,5.18
35,600238,海南椰岛,12.25,-0.24,-0.03,93660.0,114788310.0,1.95,12.4,12.16,12.27,12.28,2.1,-96.2,15.21
36,603369,今世缘,59.8,-0.37,-0.22,48686.0,291744584.0,3.35,61.0,58.99,59.97,60.02,0.39,14.94,6.09
37,000860,顺鑫农业,34.61,-1.45,-0.51,165703.0,578925307.53,9.37,37.0,33.71,36.36,35.12,2.23,19.58,3.47
38,600132,重庆啤酒,104.16,-1.62,-1.71,63304.0,662576362.0,4.38,108.04,103.4,105.7,105.87,1.31,32.56,20.62
39,603779,威龙股份,6.3,-2.63,-0.17,67584.0,42534425.0,2.94,6.38,6.19,6.36,6.47,2.03,-29.55,3.07
40,600199,金种子酒,25.06,-2.64,-0.68,152372.0,379152483.0,2.84,25.19,24.46,24.88,25.74,2.32,-100.12,6.58
