序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,600583,海油工程,6.73,7.17,0.45,1032377.0,694712104.0,7.32,6.89,6.43,6.48,6.28,2.33,16.59,1.23
2,603619,中曼石油,18.03,5.07,0.87,127994.0,230266444.0,5.3,18.38,17.47,17.5,17.16,3.2,8.49,2.83
3,002828,贝肯能源,8.27,4.29,0.34,67279.0,54987951.1,4.41,8.29,7.94,7.94,7.93,3.47,-67.28,2.88
4,300157,恒泰艾普,3.45,3.92,0.13,133476.0,45525346.17,3.92,3.46,3.33,3.34,3.32,1.91,-17.09,195.6
5,300164,通源石油,4.4,3.53,0.15,224905.0,97902150.0,3.53,4.4,4.25,4.26,4.25,4.64,39.25,2.06
6,600968,海油发展,3.69,3.36,0.12,724254.0,266037861.0,5.6,3.74,3.54,3.54,3.57,0.71,22.71,1.65
7,600339,中油工程,4.69,3.08,0.14,1783241.0,819626162.0,7.03,4.77,4.45,4.59,4.55,3.19,31.56,1.02
8,002207,准油股份,6.5,2.52,0.16,31355.0,20241179.0,3.0,6.51,6.32,6.33,6.34,1.2,-37.14,18.16
9,603727,博迈科,11.55,2.39,0.27,26017.0,29831648.0,2.22,11.56,11.31,11.32,11.28,0.92,-45.09,0.98
10,600871,石化油服,2.25,2.27,0.05,887527.0,198428014.0,3.18,2.26,2.19,2.2,2.2,0.65,73.59,5.5
11,605086,龙高股份,19.56,2.09,0.4,5789.0,11244352.0,2.97,19.72,19.15,19.16,19.16,1.13,28.16,2.21
12,300191,潜能恒信,17.99,1.64,0.29,49683.0,90472639.28,5.42,18.75,17.79,18.5,17.7,2.26,685.46,4.55
13,603979,金诚信,33.73,1.2,0.4,34799.0,117141875.0,3.39,34.27,33.14,33.33,33.33,0.58,27.46,3.33
14,002629,仁智股份,3.88,1.04,0.04,112236.0,43481867.4,4.17,3.94,3.78,3.8,3.84,3.26,-33.88,53.08
15,601808,中海油服,16.14,0.44,0.07,77333.0,124619824.0,2.61,16.3,15.88,16.09,16.07,0.26,47.65,1.93
16,002683,广东宏大,29.89,0.1,0.03,51140.0,152729753.64,1.84,30.21,29.66,29.8,29.86,0.78,109.04,3.74
17,002554,惠博普,,,,,,,,,,4.19,0.0,115.32,2.26
18,603505,金石资源,35.78,-2.19,-0.8,30910.0,111068508.0,3.66,36.8,35.46,36.2,36.58,0.71,112.4,11.21
19,300084,海默科技,6.09,-3.18,-0.2,122619.0,74723552.0,3.02,6.18,5.99,6.09,6.29,3.72,-19.18,2.33
