序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,600035,楚天高速,4.04,10.08,0.37,560284,222997951.0,5.99,4.04,3.82,3.87,3.67,3.48,4.59,0.83
2,601107,四川成渝,4.08,6.81,0.26,329274,132415773.0,6.28,4.12,3.88,3.92,3.82,1.52,7.15,0.68
3,000828,东莞控股,9.98,5.39,0.51,107112,105299781.49,4.54,9.99,9.56,9.56,9.47,1.03,10.26,1.13
4,600269,赣粤高速,3.75,4.46,0.16,652495,240768039.0,4.74,3.76,3.59,3.6,3.59,2.79,5.17,0.51
5,600020,中原高速,3.41,4.28,0.14,224877,75531733.0,4.28,3.41,3.27,3.27,3.27,1.0,4.96,0.71
6,000755,山西路桥,5.21,4.2,0.21,142598,73934887.0,3.6,5.23,5.05,5.05,5.0,2.34,14.92,1.64
7,601518,吉林高速,3.49,4.18,0.14,208547,71799759.0,4.78,3.5,3.34,3.37,3.35,1.54,9.7,1.03
8,600033,福建高速,3.17,3.59,0.11,379179,118492799.0,3.92,3.18,3.06,3.07,3.06,1.38,9.39,0.79
9,600350,山东高速,7.22,3.59,0.25,218971,156691925.0,4.02,7.25,6.97,6.98,6.97,0.45,10.75,1.15
10,600561,江西长运,5.49,3.39,0.18,33985,18412324.0,3.58,5.49,5.3,5.3,5.31,1.43,-9.53,1.71
11,002357,富临运业,6.28,3.12,0.19,122737,76338822.0,4.43,6.31,6.04,6.07,6.09,3.92,9.87,1.45
12,600368,五洲交通,4.31,3.11,0.13,285962,121508454.0,3.83,4.31,4.15,4.15,4.18,2.54,6.12,0.82
13,600611,大众交通,3.06,2.68,0.08,106166,32264714.0,3.69,3.08,2.97,2.97,2.98,0.68,18.24,0.77
14,000900,现代投资,4.34,2.6,0.11,227988,98130881.9,2.6,4.34,4.23,4.24,4.23,1.5,8.98,0.62
15,000548,湖南投资,4.87,2.53,0.12,101691,49001793.69,3.58,4.88,4.71,4.74,4.75,2.04,31.56,1.29
16,600662,外服控股,6.51,2.36,0.15,143092,92118625.0,4.09,6.53,6.27,6.37,6.36,1.36,20.34,3.63
17,601188,龙江交通,3.22,2.22,0.07,174590,55769245.0,3.49,3.23,3.12,3.13,3.15,1.33,16.87,0.93
18,600650,锦江在线,10.18,2.0,0.2,16983,17169825.0,2.4,10.2,9.96,10.03,9.98,0.43,95.68,1.44
19,600106,重庆路桥,4.92,1.65,0.08,97640,47890889.0,3.1,4.97,4.82,4.86,4.84,0.73,49.58,1.43
20,002627,三峡旅游,5.51,1.47,0.08,63140,34552159.46,1.66,5.51,5.42,5.43,5.43,0.91,50.23,1.32
21,001965,招商公路,9.18,1.1,0.1,180255,165234889.78,1.43,9.21,9.08,9.09,9.08,0.29,10.52,1.02
22,600834,申通地铁,8.3,0.85,0.07,18976,15682440.0,0.97,8.3,8.22,8.25,8.23,0.4,57.71,2.4
23,000885,城发环境,11.77,0.77,0.09,82674,96721218.46,3.0,11.86,11.51,11.65,11.68,1.29,6.16,1.11
24,600377,宁沪高速,8.9,0.68,0.06,80220,70965659.0,1.58,8.91,8.77,8.83,8.84,0.21,9.13,1.35
25,200429,粤高速Ｂ,6.04,0.67,0.04,7636,4583142.71,1.5,6.04,5.95,5.99,6.0,0.22,6.74,1.17
26,000429,粤高速Ａ,7.76,0.65,0.05,81942,63510716.78,1.82,7.82,7.68,7.68,7.71,0.63,9.9,1.71
27,600548,深高速,9.22,0.33,0.03,47598,43568239.0,1.63,9.23,9.08,9.11,9.19,0.33,11.36,1.12
28,603069,海汽集团,21.94,0.18,0.04,71078,155999128.0,3.84,22.57,21.73,22.45,21.9,2.25,-54.45,7.33
29,600620,天宸股份,11.99,-0.33,-0.04,61735,72337643.0,6.15,12.1,11.36,11.88,12.03,0.9,275.09,4.2
30,600012,皖通高速,9.48,-1.35,-0.13,190744,180009242.0,3.02,9.59,9.3,9.44,9.61,1.64,8.56,1.27
31,603032,德新科技,59.0,-1.91,-1.15,14069,83533252.0,4.72,61.22,58.38,60.22,60.15,0.86,24.4,8.65
