序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,002142,宁波银行,27.38,4.58,1.2,610828,1659822932.44,5.16,27.5,26.15,26.15,26.18,0.94,6.85,1.13
2,600926,杭州银行,12.56,4.41,0.53,850225,1078188380.0,3.57,12.89,12.46,12.5,12.03,1.59,4.39,0.88
3,600036,招商银行,33.6,2.97,0.97,940213,3136764115.0,4.11,33.75,32.41,32.46,32.63,0.46,5.45,0.98
4,000001,平安银行,12.55,2.37,0.29,1445254,1816868032.98,4.57,12.78,12.22,12.26,12.26,0.74,4.17,0.65
5,002936,郑州银行,2.32,2.2,0.05,522636,120594472.87,1.76,2.32,2.28,2.29,2.27,0.86,4.04,0.46
6,600919,江苏银行,7.71,1.72,0.13,3685779,2873826123.0,4.09,7.99,7.68,7.75,7.58,2.51,3.46,0.66
7,001227,兰州银行,3.01,1.69,0.05,335678,100433841.59,2.03,3.01,2.95,2.96,2.96,1.21,7.92,0.63
8,600928,西安银行,3.62,1.69,0.06,244427,88108942.0,1.97,3.63,3.56,3.57,3.56,0.72,6.12,0.54
9,600000,浦发银行,7.6,1.6,0.12,388413,294352873.0,2.41,7.65,7.47,7.47,7.48,0.13,3.52,0.37
10,601077,渝农商行,3.87,1.57,0.06,805779,310937266.0,1.57,3.88,3.82,3.82,3.81,1.37,2.78,0.4
11,601187,厦门银行,5.58,1.27,0.07,143169,79844680.0,1.45,5.61,5.53,5.54,5.51,1.2,5.11,0.65
12,601998,中信银行,6.5,1.25,0.08,623519,403768901.0,4.21,6.58,6.31,6.45,6.42,0.18,4.15,0.56
13,601997,贵阳银行,5.65,1.07,0.06,295275,166211932.0,1.25,5.66,5.59,5.59,5.59,0.83,3.21,0.39
14,601860,紫金银行,2.66,0.76,0.02,468590,124405225.0,1.52,2.67,2.63,2.63,2.64,1.34,6.33,0.57
15,601009,南京银行,9.42,0.75,0.07,294521,276768840.0,1.5,9.45,9.31,9.31,9.35,0.32,4.49,0.75
16,002958,青农商行,2.9,0.69,0.02,284047,82247756.44,1.39,2.91,2.87,2.88,2.88,0.59,4.05,0.52
17,601818,光大银行,3.2,0.63,0.02,1163664,372340604.0,1.26,3.22,3.18,3.19,3.18,0.25,3.82,0.44
18,002948,青岛银行,3.32,0.61,0.02,152940,50757867.9,1.21,3.33,3.29,3.3,3.3,0.51,5.31,0.64
19,601825,沪农商行,5.91,0.51,0.03,159320,94032643.0,0.85,5.92,5.87,5.9,5.88,0.34,4.07,0.54
20,601166,兴业银行,17.22,0.47,0.08,848219,1463009669.0,1.81,17.4,17.09,17.12,17.14,0.41,3.56,0.52
21,002839,张家港行,4.61,0.44,0.02,279844,128721904.29,1.53,4.63,4.56,4.59,4.59,1.35,4.91,0.73
22,002966,苏州银行,7.52,0.4,0.03,241536,180825056.15,1.6,7.54,7.42,7.49,7.49,0.68,5.32,0.75
23,601128,常熟银行,7.81,0.39,0.03,153939,120241513.0,1.67,7.87,7.74,7.78,7.78,0.58,6.73,0.94
24,601916,浙商银行,3.08,0.33,0.01,1007519,309637963.0,1.3,3.09,3.05,3.06,3.07,0.6,2.91,0.46
25,600016,民生银行,3.63,0.28,0.01,826077,299950511.0,1.38,3.65,3.6,3.61,3.62,0.23,2.79,0.31
26,601665,齐鲁银行,4.19,0.24,0.01,190932,80116177.0,1.67,4.23,4.16,4.18,4.18,0.82,4.73,0.64
27,601169,北京银行,4.74,0.21,0.01,661264,313026961.0,1.27,4.76,4.7,4.73,4.73,0.31,3.34,0.42
28,601658,邮储银行,5.51,0.18,0.01,1631419,895037238.0,4.0,5.55,5.33,5.4,5.5,1.45,5.2,0.73
29,601963,重庆银行,7.92,0.13,0.01,60361,47838248.0,1.26,7.98,7.88,7.9,7.91,0.87,4.64,0.6
30,601988,中国银行,3.67,0.0,0.0,2267048,829750349.0,1.63,3.69,3.63,3.66,3.67,0.11,4.68,0.51
31,601328,交通银行,5.57,0.0,0.0,1297207,725648688.0,1.44,5.64,5.56,5.57,5.57,0.33,4.2,0.47
32,601288,农业银行,3.42,0.0,0.0,3909953,1336343715.0,1.46,3.44,3.39,3.41,3.42,0.13,4.18,0.52
33,601229,上海银行,6.28,0.0,0.0,466446,292295257.0,1.27,6.3,6.22,6.25,6.28,0.34,3.69,0.43
34,601838,成都银行,13.74,-0.07,-0.01,313991,430164803.0,2.62,13.85,13.49,13.61,13.75,0.84,5.08,0.89
35,601939,建设银行,6.31,-0.16,-0.01,1140231,718337418.0,1.74,6.36,6.25,6.32,6.32,1.19,4.44,0.56
36,600908,无锡银行,5.68,-0.18,-0.01,216335,123859944.0,2.11,5.79,5.67,5.73,5.69,1.22,5.58,0.7
37,601398,工商银行,4.72,-0.63,-0.03,2503244,1185262424.0,1.68,4.78,4.7,4.74,4.75,0.09,4.66,0.52
38,600015,华夏银行,5.76,-0.69,-0.04,557503,320725799.0,1.55,5.8,5.71,5.8,5.8,0.43,3.91,0.35
39,601528,瑞丰银行,7.97,-0.87,-0.07,230645,183844419.0,3.48,8.15,7.87,8.05,8.04,3.8,8.67,0.8
40,603323,苏农银行,4.74,-1.46,-0.07,484830,229940234.0,1.46,4.78,4.71,4.76,4.81,3.14,5.97,0.59
41,002807,江阴银行,4.08,-1.92,-0.08,546009,223302741.2,1.68,4.13,4.06,4.12,4.16,2.52,7.14,0.62
42,601577,长沙银行,8.19,-2.03,-0.17,175423,144418840.0,2.75,8.39,8.16,8.33,8.36,0.85,4.16,0.59
