序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,600381,青海春天,8.74,8.57,0.69,224891,193999692.0,10.68,8.86,8.0,8.03,8.05,3.83,-44.67,3.41
2,002330,得利斯,6.26,7.19,0.42,287250,177044841.3,7.53,6.35,5.91,5.94,5.84,4.52,44.78,1.65
3,603696,安记食品,9.35,7.1,0.62,107471,99069289.0,5.84,9.41,8.9,9.0,8.73,4.57,41.32,4.0
4,002956,西麦食品,16.15,7.1,1.07,98999,157447544.74,8.89,16.45,15.11,15.2,15.08,4.46,22.95,2.49
5,002507,涪陵榨菜,25.79,7.06,1.7,312605,802200080.43,5.15,26.16,24.92,25.08,24.09,3.56,21.9,2.86
6,300892,品渥食品,23.35,6.82,1.49,19785,45251457.03,7.5,23.39,21.75,22.02,21.86,6.46,-26.87,2.08
7,000911,南宁糖业,10.77,6.63,0.67,196448,209098570.67,6.24,10.88,10.25,10.25,10.1,6.06,114.64,86.83
8,300175,朗源股份,3.52,6.34,0.21,88536,30630861.84,5.74,3.52,3.33,3.33,3.31,1.88,-583.63,3.0
9,600887,伊利股份,29.56,6.33,1.76,1331740,3914425563.0,4.64,29.99,28.7,28.7,27.8,2.11,13.08,3.53
10,600191,华资实业,5.84,5.99,0.33,120018,70040399.0,4.9,5.95,5.68,5.77,5.51,2.47,15.95,1.85
11,001318,阳光乳业,14.25,5.48,0.74,45797,64524557.4,6.37,14.38,13.52,13.55,13.51,6.48,45.91,3.13
12,600597,光明乳业,10.8,5.47,0.56,303674,325484536.0,4.59,10.85,10.38,10.39,10.24,2.34,19.86,1.83
13,603237,五芳斋,53.32,5.13,2.6,16299,85447421.0,5.34,53.33,50.62,50.62,50.72,6.47,-21.42,3.38
14,000972,中基健康,3.6,4.96,0.17,108435,38482469.0,4.96,3.62,3.45,3.46,3.43,1.41,41.12,24.75
15,605089,味知香,65.0,4.25,2.65,10420,66804275.0,5.49,65.6,62.18,62.18,62.35,3.93,45.61,5.2
16,002702,海欣食品,5.95,4.2,0.24,175290,103383268.74,5.43,6.01,5.7,5.72,5.71,4.54,51.67,3.35
17,001215,千味央厨,72.03,4.16,2.88,10167,72491082.3,6.07,72.58,68.38,69.08,69.15,2.25,51.52,5.72
18,605300,佳禾食品,19.56,4.1,0.77,24738,47839564.0,6.81,19.88,18.6,18.6,18.79,4.3,30.93,3.75
19,002650,加加食品,3.89,4.01,0.15,95957,36957524.0,4.55,3.9,3.73,3.74,3.74,0.83,86.97,1.92
20,002582,好想你,8.49,3.79,0.31,210371,178549479.25,6.36,8.64,8.12,8.23,8.18,6.19,76.67,0.89
21,002286,保龄宝,8.55,3.76,0.31,48583,40816931.8,5.58,8.58,8.12,8.16,8.24,1.31,46.61,1.56
22,002661,克明食品,11.98,3.72,0.43,92574,109737863.35,3.81,11.99,11.55,11.55,11.55,2.79,29.12,1.51
23,300094,国联水产,5.06,3.48,0.17,174139,86934533.67,3.89,5.08,4.89,4.91,4.89,1.98,137.74,1.84
24,600737,中粮糖业,8.7,3.33,0.28,550966,475847279.0,3.92,8.77,8.44,8.44,8.42,2.58,16.98,1.85
25,002495,佳隆股份,2.51,3.29,0.08,77432,19254818.2,2.88,2.51,2.44,2.44,2.43,1.08,-378.91,2.02
26,002719,麦趣尔,9.85,3.03,0.29,113957,111746985.5,4.5,9.95,9.52,9.63,9.56,7.04,-52.95,3.13
27,300999,金龙鱼,43.44,3.01,1.27,125921,542448962.68,3.46,43.44,41.98,41.98,42.17,2.32,68.94,2.62
28,002329,皇氏集团,5.93,2.95,0.17,135932,79752537.67,3.3,5.93,5.74,5.76,5.76,2.31,264.05,3.09
29,603697,有友食品,14.08,2.92,0.4,54173,75127038.0,4.31,14.11,13.52,13.68,13.68,1.77,22.66,2.26
30,605179,一鸣食品,11.0,2.9,0.31,29265,31927480.0,3.18,11.03,10.69,10.69,10.69,4.8,240.89,4.08
31,839371,欧福蛋业,3.2,2.89,0.09,7027,2224537.05,3.54,3.2,3.09,3.09,3.11,1.6,13.34,1.28
32,002732,燕塘乳业,20.06,2.87,0.56,27027,54023726.3,3.08,20.27,19.67,19.75,19.5,1.73,27.88,2.47
33,000716,黑芝麻,7.2,2.86,0.2,355263,254365112.08,3.71,7.25,6.99,7.05,7.0,5.16,129.34,2.16
34,300106,西部牧业,8.06,2.81,0.22,42626,34049277.0,3.44,8.09,7.82,7.82,7.84,2.02,195.59,2.8
35,605388,均瑶健康,14.33,2.72,0.38,47404,67450202.0,3.87,14.5,13.96,13.98,13.95,3.37,64.41,3.17
36,600962,国投中鲁,11.75,2.71,0.31,50743,58789451.0,3.15,11.78,11.42,11.42,11.44,1.94,120.75,3.98
37,603536,惠发食品,6.45,2.71,0.17,42368,27140235.0,4.3,6.5,6.23,6.28,6.28,1.76,-23.84,3.29
38,603170,宝立食品,24.5,2.64,0.63,12081,29219281.0,3.56,24.55,23.7,23.71,23.87,3.02,32.1,8.14
39,000848,承德露露,9.03,2.61,0.23,238135,213260883.59,3.75,9.09,8.76,8.8,8.8,2.21,10.17,3.24
40,603719,良品铺子,33.5,2.42,0.79,35400,118180226.0,3.67,34.0,32.8,34.0,32.71,0.88,22.59,5.27
41,603711,香飘飘,21.1,2.33,0.48,69806,145865270.0,4.56,21.25,20.31,20.57,20.62,1.7,370.61,2.77
42,002695,煌上煌,11.95,2.22,0.26,48329,57542417.38,4.28,12.1,11.6,11.68,11.69,1.04,42.25,2.57
43,002820,桂发祥,9.92,2.16,0.21,340809,345560071.07,4.94,10.4,9.92,10.4,9.71,17.01,19.51,2.04
44,605567,春雪食品,13.68,2.09,0.28,28236,38297481.0,2.69,13.73,13.37,13.4,13.4,2.28,81.14,2.36
45,603235,天新药业,29.36,2.09,0.6,7892,22954100.0,2.29,29.38,28.72,28.97,28.76,1.8,29.59,3.08
46,002515,金字火腿,4.55,2.02,0.09,134055,60641433.11,2.69,4.58,4.46,4.49,4.46,1.54,53.36,2.88
47,300898,熊猫乳品,21.6,1.93,0.41,48583,104295163.72,5.9,21.93,20.68,20.68,21.19,9.14,35.27,3.09
48,603043,广州酒家,30.69,1.93,0.58,43941,134567397.0,3.32,30.98,29.98,30.0,30.11,0.77,63.02,5.12
49,300915,海融科技,39.2,1.92,0.74,3608,14123193.0,2.31,39.5,38.61,38.67,38.46,1.45,37.51,2.39
50,002570,贝因美,4.39,1.86,0.08,80723,35280392.9,1.86,4.4,4.32,4.32,4.31,0.75,96.76,3.08
51,001219,青岛食品,23.22,1.71,0.39,30589,70511970.92,2.54,23.31,22.73,22.83,22.83,5.26,24.91,2.82
52,003030,祖名股份,24.76,1.68,0.41,7303,17977467.79,3.04,24.94,24.2,24.33,24.35,1.45,82.7,2.96
53,603020,爱普股份,9.33,1.63,0.15,15010,13912217.0,2.61,9.35,9.11,9.16,9.18,0.4,22.64,1.15
54,603288,海天味业,70.6,1.63,1.13,41134,289362266.0,2.68,70.86,69.0,69.0,69.47,0.09,47.67,11.64
55,600298,安琪酵母,40.0,1.57,0.62,70020,277859125.0,2.13,40.12,39.28,39.29,39.38,0.81,24.65,3.61
56,603755,日辰股份,36.36,1.56,0.56,5336,19410830.0,2.74,36.8,35.82,36.05,35.8,0.54,84.09,5.13
57,600872,中炬高新,36.75,1.55,0.56,131837,481905938.0,3.84,37.09,35.7,36.19,36.19,1.68,48.21,9.14
58,605198,安德利,19.75,1.54,0.3,16627,32629584.0,2.62,19.86,19.35,19.45,19.45,1.99,28.53,2.91
59,605338,巴比食品,26.52,1.53,0.4,20434,53994718.0,3.06,26.8,26.0,26.08,26.12,2.37,40.41,3.15
60,301206,三元生物,30.74,1.49,0.45,6717,20503916.75,1.95,30.88,30.29,30.41,30.29,0.66,199.13,1.34
61,000639,西王食品,4.79,1.48,0.07,77622,36664683.24,7.63,4.85,4.49,4.52,4.72,0.72,-30.6,1.59
62,603027,千禾味业,23.76,1.32,0.31,139553,329823335.0,3.92,24.18,23.26,23.68,23.45,1.46,39.49,9.13
63,600300,维维股份,3.11,1.3,0.04,102559,31753249.0,1.95,3.12,3.06,3.07,3.07,0.63,34.88,1.63
64,603079,圣达生物,12.5,1.3,0.16,7575,9423353.0,2.03,12.54,12.29,12.34,12.34,0.44,153.24,1.61
65,000895,双汇发展,24.95,1.22,0.3,90020,223772243.41,1.7,25.05,24.63,24.64,24.65,0.26,14.52,4.35
66,300908,仲景食品,47.68,1.17,0.55,13486,64383918.87,3.39,48.37,46.77,47.48,47.13,3.49,30.49,2.9
