,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2022-01-04,6.73,6.9,6.98,6.61,566319,388856112.0,5.49,2.37,0.16,4.0
1,2022-01-05,6.96,6.84,6.98,6.69,366189,250959325.0,4.2,-0.87,-0.06,2.58
2,2022-01-06,6.78,6.77,6.84,6.7,248703,168632858.0,2.05,-1.02,-0.07,1.75
3,2022-01-07,6.76,6.68,6.97,6.66,307376,210183891.0,4.58,-1.33,-0.09,2.17
4,2022-01-10,6.64,6.73,6.79,6.5,215392,144052210.0,4.34,0.75,0.05,1.52
5,2022-01-11,6.71,6.64,6.82,6.6,222854,149802897.0,3.27,-1.34,-0.09,1.57
6,2022-01-12,6.6,6.67,6.81,6.56,227136,151956686.0,3.77,0.45,0.03,1.6
7,2022-01-13,6.65,6.61,6.8,6.59,215412,144667657.0,3.15,-0.9,-0.06,1.52
8,2022-01-14,6.58,6.51,6.78,6.49,245299,162579017.0,4.39,-1.51,-0.1,1.73
9,2022-01-17,6.55,6.73,6.75,6.52,260135,173955774.0,3.53,3.38,0.22,1.84
10,2022-01-18,6.73,6.65,7.17,6.64,507041,348946912.0,7.88,-1.19,-0.08,3.58
11,2022-01-19,6.55,6.73,6.78,6.51,335579,224974900.0,4.06,1.2,0.08,2.37
12,2022-01-20,6.72,6.46,6.73,6.37,328501,214428745.0,5.35,-4.01,-0.27,2.32
13,2022-01-21,6.43,6.46,6.71,6.39,274061,179965354.0,4.95,0.0,0.0,1.93
14,2022-01-24,6.4,6.33,6.43,6.2,220049,139351606.0,3.56,-2.01,-0.13,1.55
15,2022-01-25,6.29,5.83,6.35,5.82,296494,179088232.0,8.37,-7.9,-0.5,2.09
16,2022-01-26,5.89,5.85,5.98,5.78,178062,104919073.0,3.43,0.34,0.02,1.26
17,2022-01-27,5.85,5.58,5.92,5.58,190040,108623305.0,5.81,-4.62,-0.27,1.34
18,2022-01-28,5.65,5.74,5.83,5.61,162226,93090862.0,3.94,2.87,0.16,1.14
19,2022-02-07,5.8,5.77,5.87,5.7,140659,81519319.0,2.96,0.52,0.03,0.99
20,2022-02-08,5.79,6.03,6.1,5.72,226342,134532210.0,6.59,4.51,0.26,1.6
21,2022-02-09,6.06,6.2,6.23,5.97,201609,123978567.0,4.31,2.82,0.17,1.42
