trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount
2020-03-02,002426.SZ,2.12,2.28,2.12,2.25,2.17,0.08,3.6866,1210399.78,266452.584
2020-03-03,002426.SZ,2.28,2.31,2.18,2.19,2.25,-0.06,-2.6667,1165153.54,261473.757
2020-03-04,002426.SZ,2.16,2.19,2.11,2.16,2.19,-0.03,-1.3699,889072.34,191241.965
2020-03-05,002426.SZ,2.18,2.22,2.13,2.16,2.16,0.0,0.0,950580.4,205381.085
2020-03-06,002426.SZ,2.12,2.25,2.11,2.18,2.16,0.02,0.9259,1272945.35,276535.478
2020-03-09,002426.SZ,2.14,2.15,2.05,2.06,2.18,-0.12,-5.5046,1027418.26,215546.214
2020-03-10,002426.SZ,2.0,2.11,1.98,2.1,2.06,0.04,1.9417,775932.27,158896.639
2020-03-11,002426.SZ,2.12,2.19,2.1,2.12,2.1,0.02,0.9524,750465.34,160784.662
2020-03-12,002426.SZ,2.08,2.1,2.03,2.05,2.12,-0.07,-3.3019,555118.96,114452.642
2020-03-13,002426.SZ,1.91,2.1,1.91,2.08,2.05,0.03,1.4634,777109.77,157450.309
2020-03-16,002426.SZ,2.1,2.14,1.98,2.02,2.08,-0.06,-2.8846,634551.36,131089.469
2020-03-17,002426.SZ,1.98,2.07,1.97,2.06,2.02,0.04,1.9802,615544.61,124710.266
2020-03-18,002426.SZ,2.07,2.27,2.07,2.27,2.06,0.21,10.1942,2861299.39,642177.096
2020-03-19,002426.SZ,2.28,2.5,2.22,2.5,2.27,0.23,10.1322,3326816.53,786866.277
2020-03-20,002426.SZ,2.75,2.75,2.68,2.75,2.5,0.25,10.0,1665671.38,457811.582
2020-03-23,002426.SZ,2.77,3.03,2.7,2.78,2.75,0.03,1.0909,5874997.11,1689154.756
2020-03-24,002426.SZ,2.6,2.76,2.5,2.5,2.78,-0.28,-10.0719,3574359.07,930015.536
2020-03-25,002426.SZ,2.47,2.51,2.3,2.39,2.5,-0.11,-4.4,3924404.49,936897.266
2020-03-26,002426.SZ,2.33,2.34,2.16,2.18,2.39,-0.21,-8.7866,2893315.39,647735.475
2020-03-27,002426.SZ,2.22,2.24,2.09,2.1,2.18,-0.08,-3.6697,1856635.26,397972.288
2020-03-30,002426.SZ,2.01,2.05,1.92,1.98,2.1,-0.12,-5.7143,1881688.76,370794.218
2020-03-31,002426.SZ,2.01,2.15,1.98,2.05,1.98,0.07,3.5354,1828770.59,377610.627
2020-04-01,002426.SZ,2.01,2.08,1.95,2.0,2.05,-0.05,-2.439,1273461.55,257120.945
2020-04-02,002426.SZ,2.0,2.11,1.97,2.09,2.0,0.09,4.5,1575513.21,321676.97
2020-04-03,002426.SZ,2.08,2.1,2.03,2.04,2.09,-0.05,-2.3923,1118592.28,229625.242
2020-04-07,002426.SZ,2.07,2.14,2.02,2.11,2.04,0.07,3.4314,1645581.01,341865.418
2020-04-08,002426.SZ,2.09,2.17,2.06,2.13,2.11,0.02,0.9479,1295740.27,275376.67
