,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2022-01-04,60.24,58.23,61.16,57.91,162104,942534928.0,5.4,-3.29,-1.98,1.57
1,2022-01-05,58.57,58.06,59.96,56.36,141114,813851056.0,6.18,-0.29,-0.17,1.37
2,2022-01-06,57.2,55.76,57.2,53.66,167261,914931216.0,6.1,-3.96,-2.3,1.62
3,2022-01-07,55.02,53.22,55.64,53.16,137048,732561824.0,4.45,-4.56,-2.54,1.33
4,2022-01-10,52.66,53.29,54.14,51.46,95485,500001120.0,5.04,0.13,0.07,0.92
5,2022-01-11,53.28,49.49,53.47,48.96,253222,1262251712.0,8.46,-7.13,-3.8,2.45
6,2022-01-12,50.16,49.82,50.65,48.99,149176,731972512.0,3.35,0.67,0.33,1.44
7,2022-01-13,49.73,47.28,50.04,47.28,173764,829276768.0,5.54,-5.1,-2.54,1.68
8,2022-01-14,46.68,45.75,47.79,45.74,195301,895195008.0,4.34,-3.24,-1.53,1.89
9,2022-01-17,45.75,47.87,48.15,44.3,227247,1047079248.0,8.42,4.63,2.12,2.2
10,2022-01-18,46.41,52.59,52.59,45.48,330669,1643943552.0,14.85,9.86,4.72,3.2
11,2022-01-19,53.56,54.66,57.65,52.31,353282,1912070432.0,10.15,3.94,2.07,3.42
12,2022-01-20,54.99,52.38,54.99,51.25,208636,1089781712.0,6.84,-4.17,-2.28,2.02
13,2022-01-21,52.52,50.6,52.69,50.07,124499,627331632.0,5.0,-3.4,-1.78,1.21
14,2022-01-24,50.36,51.93,52.4,49.46,132259,664235360.0,5.81,2.63,1.33,1.28
15,2022-01-25,51.5,49.63,52.26,49.46,98331,491355872.0,5.39,-4.43,-2.3,0.95
16,2022-01-26,49.63,49.24,50.34,48.21,77749,377447120.0,4.29,-0.79,-0.39,0.75
17,2022-01-27,49.54,46.91,49.95,46.82,97876,461574864.0,6.36,-4.73,-2.33,0.95
18,2022-01-28,46.66,46.47,48.21,44.34,170084,775432896.0,8.25,-0.94,-0.44,1.65
19,2022-02-07,47.66,46.72,49.55,46.09,118103,553637680.0,7.45,0.54,0.25,1.14
20,2022-02-08,45.66,45.73,47.36,44.77,105769,476779008.0,5.54,-2.12,-0.99,1.02
21,2022-02-09,45.72,46.18,47.95,45.16,102454,470258752.0,6.1,0.98,0.45,0.99
22,2022-02-10,46.56,44.65,46.63,44.32,128556,568292784.0,5.0,-3.31,-1.53,1.25
23,2022-02-11,44.11,42.81,44.9,42.66,111336,478720816.0,5.02,-4.12,-1.84,1.08
24,2022-02-14,42.53,41.81,43.05,41.27,149966,619888032.0,4.16,-2.34,-1.0,1.45
25,2022-02-15,41.97,43.96,44.44,41.41,185510,786879808.0,7.25,5.14,2.15,1.8
26,2022-02-16,43.99,44.89,45.89,43.46,142130,627080464.0,5.53,2.12,0.93,1.38
27,2022-02-17,44.86,45.13,46.61,43.86,118796,528904704.0,6.13,0.53,0.24,1.15
28,2022-02-18,44.25,46.56,47.84,44.18,165847,755120304.0,8.11,3.17,1.43,1.61
29,2022-02-21,46.48,46.15,46.96,45.1,117478,532395824.0,3.99,-0.88,-0.41,1.14
30,2022-02-22,45.56,45.92,47.02,44.97,110961,505403392.0,4.44,-0.5,-0.23,1.07
31,2022-02-23,45.66,47.55,48.11,45.63,135210,632084720.0,5.4,3.55,1.63,1.31
32,2022-02-24,47.06,44.74,47.46,44.02,169156,758493568.0,7.23,-5.91,-2.81,1.64
33,2022-02-25,45.39,46.21,47.86,45.39,178902,823608928.0,5.52,3.29,1.47,1.73
34,2022-02-28,45.66,45.87,46.64,44.82,99006,442921152.0,3.94,-0.74,-0.34,0.96
35,2022-03-01,46.46,45.65,46.76,44.36,110200,492563616.0,5.23,-0.48,-0.22,1.07
36,2022-03-02,44.76,44.79,45.17,44.16,82616,362471536.0,2.21,-1.88,-0.86,0.8
37,2022-03-03,44.86,43.36,45.07,43.16,98197,422930384.0,4.26,-3.19,-1.43,0.95
38,2022-03-04,43.56,43.88,44.47,42.66,91558,394583792.0,4.17,1.2,0.52,0.89
39,2022-03-07,43.16,42.19,43.59,41.56,106365,442869920.0,4.63,-3.85,-1.69,1.03
40,2022-03-08,41.54,39.15,42.27,38.97,145343,573047040.0,7.82,-7.21,-3.04,1.41
41,2022-03-09,39.16,42.01,42.16,38.28,238066,959867024.0,9.91,7.31,2.86,2.31
42,2022-03-10,42.74,41.46,43.0,41.37,128280,530630880.0,3.88,-1.31,-0.55,1.24
43,2022-03-11,40.49,42.22,42.92,39.16,126505,516582880.0,9.07,1.83,0.76,1.23
44,2022-03-14,41.86,41.36,42.86,41.09,85530,352891952.0,4.19,-2.04,-0.86,0.83
45,2022-03-15,40.96,40.12,41.53,39.66,137370,545291904.0,4.52,-3.0,-1.24,1.33
46,2022-03-16,40.66,44.07,44.07,40.26,287955,1194331520.0,9.5,9.85,3.95,2.79
47,2022-03-17,44.31,44.31,45.54,43.15,228079,1000649520.0,5.42,0.54,0.24,2.21
48,2022-03-18,43.7,45.27,46.02,43.65,163317,726714784.0,5.35,2.17,0.96,1.58
49,2022-03-21,45.66,45.21,46.46,44.66,132655,595646256.0,3.98,-0.13,-0.06,1.28
50,2022-03-22,44.84,45.49,45.79,44.37,103164,459091952.0,3.14,0.62,0.28,1.0
51,2022-03-23,45.81,43.92,45.81,43.61,153714,671442720.0,4.84,-3.45,-1.57,1.49
52,2022-03-24,43.43,41.56,43.47,40.65,189193,779205184.0,6.42,-5.37,-2.36,1.83
53,2022-03-25,41.39,40.32,41.44,40.16,166045,665730752.0,3.08,-2.98,-1.24,1.61
54,2022-03-28,40.88,43.9,44.29,40.05,288785,1220009664.0,10.52,8.88,3.58,2.8
55,2022-03-29,43.61,42.47,44.25,42.16,154867,657250320.0,4.76,-3.26,-1.43,1.5
56,2022-03-30,42.66,43.83,44.16,42.01,136191,583193840.0,5.06,3.2,1.36,1.32
57,2022-03-31,43.64,43.71,45.86,43.07,135903,591858624.0,6.37,-0.27,-0.12,1.32
58,2022-04-01,44.0,45.87,47.11,43.66,229900,1037774720.0,7.89,4.94,2.16,2.23
59,2022-04-06,46.35,45.37,46.44,44.78,133299,594897664.0,3.62,-1.09,-0.5,1.29
60,2022-04-07,44.76,42.63,46.18,42.63,156655,678994816.0,7.82,-6.04,-2.74,1.52
61,2022-04-08,42.63,42.71,43.42,41.82,85498,359352848.0,3.75,0.19,0.08,0.83
62,2022-04-11,42.16,40.69,42.65,40.35,140439,563464672.0,5.39,-4.73,-2.02,1.36
63,2022-04-12,40.66,43.55,43.75,40.26,164930,695494480.0,8.58,7.03,2.86,1.6
64,2022-04-13,42.99,42.01,43.55,41.93,91621,383866816.0,3.72,-3.54,-1.54,0.89
65,2022-04-14,42.96,42.06,43.46,42.01,98727,412742992.0,3.45,0.12,0.05,0.96
66,2022-04-15,41.36,40.79,41.56,40.36,112821,452868320.0,2.85,-3.02,-1.27,1.09
