trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount
2019-10-08,002230.SZ,30.99,31.7,30.88,31.01,31.86,-0.85,-2.6679,333781.96,1041870.175
2019-10-09,002230.SZ,31.0,31.66,30.59,31.55,31.01,0.54,1.7414,197209.66,618797.194
2019-10-10,002230.SZ,32.65,34.36,32.56,33.98,31.55,2.43,7.7021,616029.85,2054984.836
2019-10-11,002230.SZ,34.0,34.35,33.72,33.88,33.98,-0.1,-0.2943,428859.89,1459789.602
2019-10-14,002230.SZ,34.6,34.77,33.73,33.94,33.88,0.06,0.1771,338385.52,1154624.003
2019-10-15,002230.SZ,33.91,33.91,33.03,33.14,33.94,-0.8,-2.3571,257470.19,859554.094
2019-10-16,002230.SZ,33.25,36.08,33.25,35.02,33.14,1.88,5.6729,870057.17,3042367.312
2019-10-17,002230.SZ,35.02,35.47,34.86,35.2,35.02,0.18,0.514,416685.96,1465337.015
2019-10-18,002230.SZ,35.3,35.35,34.48,34.77,35.2,-0.43,-1.2216,358709.99,1249789.936
2019-10-21,002230.SZ,34.6,35.08,34.05,34.67,34.67,0.0,0.0,355143.79,1229548.47
2019-10-22,002230.SZ,34.54,34.84,34.12,34.82,34.67,0.15,0.4327,344439.04,1190287.302
2019-10-23,002230.SZ,34.7,34.77,33.86,33.9,34.82,-0.92,-2.6422,319014.97,1089639.291
2019-10-24,002230.SZ,33.89,34.5,33.64,34.42,33.9,0.52,1.5339,325476.67,1113365.659
2019-10-25,002230.SZ,34.46,34.46,32.71,33.31,34.42,-1.11,-3.2249,583200.84,1936018.537
2019-10-28,002230.SZ,33.55,34.22,33.3,34.2,33.31,0.89,2.6719,461259.95,1554933.453
2019-10-29,002230.SZ,33.99,33.99,33.0,33.01,34.2,-1.19,-3.4795,373519.99,1245666.683
2019-10-30,002230.SZ,32.65,33.27,32.6,33.02,33.01,0.01,0.0303,181727.56,599344.121
2019-10-31,002230.SZ,33.08,33.34,32.91,33.09,33.02,0.07,0.212,173030.73,573108.406
2019-11-01,002230.SZ,33.09,33.78,33.05,33.52,33.09,0.43,1.2995,237093.65,794643.469
