trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount
2019-11-22,601127.SH,12.75,12.85,12.61,12.68,12.75,-0.07,-0.549,9217.19,11745.782
2019-11-25,601127.SH,12.65,12.72,12.52,12.66,12.68,-0.02,-0.1577,7977.86,10058.973
2019-11-26,601127.SH,12.68,12.76,12.5,12.57,12.66,-0.09,-0.7109,10173.08,12803.924
2019-11-27,601127.SH,12.6,12.66,12.54,12.6,12.57,0.03,0.2387,6913.46,8706.729
2019-11-28,601127.SH,12.59,12.6,12.46,12.52,12.6,-0.08,-0.6349,13752.8,17231.87
2019-11-29,601127.SH,12.49,12.65,12.26,12.61,12.52,0.09,0.7188,14497.38,18248.567
2019-12-02,601127.SH,12.59,12.75,12.53,12.71,12.61,0.1,0.793,12341.67,15663.022
2019-12-03,601127.SH,12.69,12.8,12.66,12.78,12.71,0.07,0.5507,15417.0,19674.009
2019-12-04,601127.SH,12.78,12.93,12.68,12.76,12.78,-0.02,-0.1565,12902.22,16473.202
2019-12-05,601127.SH,12.82,12.83,12.62,12.66,12.76,-0.1,-0.7837,8728.58,11065.055
2019-12-06,601127.SH,12.7,12.73,12.6,12.65,12.66,-0.01,-0.079,6959.82,8810.33
2019-12-09,601127.SH,12.69,12.71,12.61,12.67,12.65,0.02,0.1581,6542.28,8283.659
2019-12-10,601127.SH,12.6,12.68,12.55,12.63,12.67,-0.04,-0.3157,9845.26,12410.865
2019-12-11,601127.SH,12.63,12.66,12.4,12.63,12.63,0.0,0.0,9095.98,11419.027
2019-12-12,601127.SH,12.63,12.64,12.47,12.52,12.63,-0.11,-0.8709,6570.09,8248.861
2019-12-13,601127.SH,12.57,12.85,12.45,12.63,12.52,0.11,0.8786,28514.36,35869.807
2019-12-16,601127.SH,12.63,12.66,12.5,12.58,12.63,-0.05,-0.3959,15659.55,19707.789
2019-12-17,601127.SH,12.57,12.87,12.54,12.86,12.58,0.28,2.2258,30260.05,38635.599
2019-12-18,601127.SH,12.87,13.47,12.75,13.38,12.86,0.52,4.0435,40902.81,53221.726
2019-12-19,601127.SH,13.51,13.52,12.3,12.32,13.38,-1.06,-7.9223,174472.66,221062.552
2019-12-20,601127.SH,12.2,12.22,11.63,11.74,12.32,-0.58,-4.7078,107609.18,127943.927
2019-12-23,601127.SH,11.67,11.81,11.54,11.55,11.74,-0.19,-1.6184,37057.3,43128.27
2019-12-24,601127.SH,11.63,11.73,11.59,11.65,11.55,0.1,0.8658,19612.16,22814.681
2019-12-25,601127.SH,11.65,11.77,11.61,11.65,11.65,0.0,0.0,22336.24,26089.715
2019-12-26,601127.SH,11.65,11.67,11.54,11.62,11.65,-0.03,-0.2575,19919.82,23068.286
2019-12-27,601127.SH,11.61,11.64,11.53,11.54,11.62,-0.08,-0.6885,25497.71,29569.289
2019-12-30,601127.SH,11.5,11.51,11.32,11.4,11.54,-0.14,-1.2132,26972.0,30741.138
