cal_date,exchange,is_open,pretrade_date
2020-01-01,SSE,0,20191231
2020-01-02,SSE,1,20191231
2020-01-03,SSE,1,20200102
2020-01-04,SSE,0,20200103
2020-01-05,SSE,0,20200103
2020-01-06,SSE,1,20200103
2020-01-07,SSE,1,20200106
2020-01-08,SSE,1,20200107
2020-01-09,SSE,1,20200108
2020-01-10,SSE,1,20200109
2020-01-11,SSE,0,20200110
2020-01-12,SSE,0,20200110
2020-01-13,SSE,1,20200110
2020-01-14,SSE,1,20200113
2020-01-15,SSE,1,20200114
2020-01-16,SSE,1,20200115
2020-01-17,SSE,1,20200116
2020-01-18,SSE,0,20200117
2020-01-19,SSE,0,20200117
2020-01-20,SSE,1,20200117
2020-01-21,SSE,1,20200120
2020-01-22,SSE,1,20200121
2020-01-23,SSE,1,20200122
2020-01-24,SSE,0,20200123
2020-01-25,SSE,0,20200123
2020-01-26,SSE,0,20200123
2020-01-27,SSE,0,20200123
2020-01-28,SSE,0,20200123
2020-01-29,SSE,0,20200123
2020-01-30,SSE,0,20200123
2020-01-31,SSE,0,20200123
2020-02-01,SSE,0,20200123
2020-02-02,SSE,0,20200123
2020-02-03,SSE,1,20200123
2020-02-04,SSE,1,20200203
2020-02-05,SSE,1,20200204
2020-02-06,SSE,1,20200205
2020-02-07,SSE,1,20200206
2020-02-08,SSE,0,20200207
2020-02-09,SSE,0,20200207
2020-02-10,SSE,1,20200207
2020-02-11,SSE,1,20200210
2020-02-12,SSE,1,20200211
2020-02-13,SSE,1,20200212
2020-02-14,SSE,1,20200213
2020-02-15,SSE,0,20200214
2020-02-16,SSE,0,20200214
2020-02-17,SSE,1,20200214
2020-02-18,SSE,1,20200217
2020-02-19,SSE,1,20200218
2020-02-20,SSE,1,20200219
2020-02-21,SSE,1,20200220
2020-02-22,SSE,0,20200221
2020-02-23,SSE,0,20200221
2020-02-24,SSE,1,20200221
2020-02-25,SSE,1,20200224
2020-02-26,SSE,1,20200225
2020-02-27,SSE,1,20200226
2020-02-28,SSE,1,20200227
2020-02-29,SSE,0,20200228
2020-03-01,SSE,0,20200228
2020-03-02,SSE,1,20200228
2020-03-03,SSE,1,20200302
2020-03-04,SSE,1,20200303
2020-03-05,SSE,1,20200304
2020-03-06,SSE,1,20200305
2020-03-07,SSE,0,20200306
2020-03-08,SSE,0,20200306
2020-03-09,SSE,1,20200306
2020-03-10,SSE,1,20200309
2020-03-11,SSE,1,20200310
2020-03-12,SSE,1,20200311
2020-03-13,SSE,1,20200312
2020-03-14,SSE,0,20200313
2020-03-15,SSE,0,20200313
2020-03-16,SSE,1,20200313
2020-03-17,SSE,1,20200316
2020-03-18,SSE,1,20200317
2020-03-19,SSE,1,20200318
2020-03-20,SSE,1,20200319
2020-03-21,SSE,0,20200320
2020-03-22,SSE,0,20200320
2020-03-23,SSE,1,20200320
2020-03-24,SSE,1,20200323
2020-03-25,SSE,1,20200324
2020-03-26,SSE,1,20200325
2020-03-27,SSE,1,20200326
2020-03-28,SSE,0,20200327
2020-03-29,SSE,0,20200327
2020-03-30,SSE,1,20200327
2020-03-31,SSE,1,20200330
2020-04-01,SSE,1,20200331
2020-04-02,SSE,1,20200401
2020-04-03,SSE,1,20200402
2020-04-04,SSE,0,20200403
2020-04-05,SSE,0,20200403
2020-04-06,SSE,0,20200403
2020-04-07,SSE,1,20200403
2020-04-08,SSE,1,20200407
2020-04-09,SSE,1,20200408
2020-04-10,SSE,1,20200409
2020-04-11,SSE,0,20200410
2020-04-12,SSE,0,20200410
2020-04-13,SSE,1,20200410
2020-04-14,SSE,1,20200413
2020-04-15,SSE,1,20200414
2020-04-16,SSE,1,20200415
2020-04-17,SSE,1,20200416
2020-04-18,SSE,0,20200417
2020-04-19,SSE,0,20200417
2020-04-20,SSE,1,20200417
2020-04-21,SSE,1,20200420
2020-04-22,SSE,1,20200421
2020-04-23,SSE,1,20200422
2020-04-24,SSE,1,20200423
2020-04-25,SSE,0,20200424
2020-04-26,SSE,0,20200424
2020-04-27,SSE,1,20200424
2020-04-28,SSE,1,20200427
2020-04-29,SSE,1,20200428
2020-04-30,SSE,1,20200429
2020-05-01,SSE,0,20200430
2020-05-02,SSE,0,20200430
2020-05-03,SSE,0,20200430
2020-05-04,SSE,0,20200430
2020-05-05,SSE,0,20200430
2020-05-06,SSE,1,20200430
2020-05-07,SSE,1,20200506
2020-05-08,SSE,1,20200507
2020-05-09,SSE,0,20200508
2020-05-10,SSE,0,20200508
2020-05-11,SSE,1,20200508
2020-05-12,SSE,1,20200511
2020-05-13,SSE,1,20200512
2020-05-14,SSE,1,20200513
2020-05-15,SSE,1,20200514
2020-05-16,SSE,0,20200515
2020-05-17,SSE,0,20200515
2020-05-18,SSE,1,20200515
2020-05-19,SSE,1,20200518
2020-05-20,SSE,1,20200519
2020-05-21,SSE,1,20200520
2020-05-22,SSE,1,20200521
2020-05-23,SSE,0,20200522
2020-05-24,SSE,0,20200522
2020-05-25,SSE,1,20200522
2020-05-26,SSE,1,20200525
2020-05-27,SSE,1,20200526
2020-05-28,SSE,1,20200527
2020-05-29,SSE,1,20200528
2020-05-30,SSE,0,20200529
2020-05-31,SSE,0,20200529
2020-06-01,SSE,1,20200529
2020-06-02,SSE,1,20200601
2020-06-03,SSE,1,20200602
2020-06-04,SSE,1,20200603
2020-06-05,SSE,1,20200604
2020-06-06,SSE,0,20200605
2020-06-07,SSE,0,20200605
2020-06-08,SSE,1,20200605
2020-06-09,SSE,1,20200608
2020-06-10,SSE,1,20200609
2020-06-11,SSE,1,20200610
2020-06-12,SSE,1,20200611
2020-06-13,SSE,0,20200612
2020-06-14,SSE,0,20200612
2020-06-15,SSE,1,20200612
2020-06-16,SSE,1,20200615
2020-06-17,SSE,1,20200616
2020-06-18,SSE,1,20200617
2020-06-19,SSE,1,20200618
2020-06-20,SSE,0,20200619
2020-06-21,SSE,0,20200619
2020-06-22,SSE,1,20200619
2020-06-23,SSE,1,20200622
2020-06-24,SSE,1,20200623
2020-06-25,SSE,0,20200624
2020-06-26,SSE,0,20200624
2020-06-27,SSE,0,20200624
2020-06-28,SSE,0,20200624
2020-06-29,SSE,1,20200624
2020-06-30,SSE,1,20200629
2020-07-01,SSE,1,20200630
2020-07-02,SSE,1,20200701
2020-07-03,SSE,1,20200702
2020-07-04,SSE,0,20200703
2020-07-05,SSE,0,20200703
2020-07-06,SSE,1,20200703
2020-07-07,SSE,1,20200706
2020-07-08,SSE,1,20200707
2020-07-09,SSE,1,20200708
2020-07-10,SSE,1,20200709
2020-07-11,SSE,0,20200710
2020-07-12,SSE,0,20200710
2020-07-13,SSE,1,20200710
2020-07-14,SSE,1,20200713
2020-07-15,SSE,1,20200714
2020-07-16,SSE,1,20200715
2020-07-17,SSE,1,20200716
2020-07-18,SSE,0,20200717
2020-07-19,SSE,0,20200717
2020-07-20,SSE,1,20200717
2020-07-21,SSE,1,20200720
2020-07-22,SSE,1,20200721
2020-07-23,SSE,1,20200722
2020-07-24,SSE,1,20200723
2020-07-25,SSE,0,20200724
2020-07-26,SSE,0,20200724
2020-07-27,SSE,1,20200724
2020-07-28,SSE,1,20200727
2020-07-29,SSE,1,20200728
2020-07-30,SSE,1,20200729
2020-07-31,SSE,1,20200730
2020-08-01,SSE,0,20200731
2020-08-02,SSE,0,20200731
2020-08-03,SSE,1,20200731
2020-08-04,SSE,1,20200803
2020-08-05,SSE,1,20200804
2020-08-06,SSE,1,20200805
2020-08-07,SSE,1,20200806
2020-08-08,SSE,0,20200807
2020-08-09,SSE,0,20200807
2020-08-10,SSE,1,20200807
2020-08-11,SSE,1,20200810
2020-08-12,SSE,1,20200811
2020-08-13,SSE,1,20200812
2020-08-14,SSE,1,20200813
2020-08-15,SSE,0,20200814
2020-08-16,SSE,0,20200814
2020-08-17,SSE,1,20200814
2020-08-18,SSE,1,20200817
2020-08-19,SSE,1,20200818
2020-08-20,SSE,1,20200819
2020-08-21,SSE,1,20200820
2020-08-22,SSE,0,20200821
2020-08-23,SSE,0,20200821
2020-08-24,SSE,1,20200821
2020-08-25,SSE,1,20200824
2020-08-26,SSE,1,20200825
2020-08-27,SSE,1,20200826
2020-08-28,SSE,1,20200827
2020-08-29,SSE,0,20200828
2020-08-30,SSE,0,20200828
2020-08-31,SSE,1,20200828
2020-09-01,SSE,1,20200831
2020-09-02,SSE,1,20200901
2020-09-03,SSE,1,20200902
2020-09-04,SSE,1,20200903
2020-09-05,SSE,0,20200904
2020-09-06,SSE,0,20200904
2020-09-07,SSE,1,20200904
2020-09-08,SSE,1,20200907
2020-09-09,SSE,1,20200908
2020-09-10,SSE,1,20200909
2020-09-11,SSE,1,20200910
2020-09-12,SSE,0,20200911
2020-09-13,SSE,0,20200911
2020-09-14,SSE,1,20200911
2020-09-15,SSE,1,20200914
2020-09-16,SSE,1,20200915
2020-09-17,SSE,1,20200916
2020-09-18,SSE,1,20200917
2020-09-19,SSE,0,20200918
2020-09-20,SSE,0,20200918
2020-09-21,SSE,1,20200918
2020-09-22,SSE,1,20200921
2020-09-23,SSE,1,20200922
2020-09-24,SSE,1,20200923
2020-09-25,SSE,1,20200924
2020-09-26,SSE,0,20200925
2020-09-27,SSE,0,20200925
2020-09-28,SSE,1,20200925
2020-09-29,SSE,1,20200928
2020-09-30,SSE,1,20200929
2020-10-01,SSE,0,20200930
2020-10-02,SSE,0,20200930
2020-10-03,SSE,0,20200930
2020-10-04,SSE,0,20200930
2020-10-05,SSE,0,20200930
2020-10-06,SSE,0,20200930
2020-10-07,SSE,0,20200930
2020-10-08,SSE,0,20200930
2020-10-09,SSE,1,20200930
2020-10-10,SSE,0,20201009
2020-10-11,SSE,0,20201009
2020-10-12,SSE,1,20201009
2020-10-13,SSE,1,20201012
2020-10-14,SSE,1,20201013
2020-10-15,SSE,1,20201014
2020-10-16,SSE,1,20201015
2020-10-17,SSE,0,20201016
2020-10-18,SSE,0,20201016
2020-10-19,SSE,1,20201016
2020-10-20,SSE,1,20201019
2020-10-21,SSE,1,20201020
2020-10-22,SSE,1,20201021
2020-10-23,SSE,1,20201022
2020-10-24,SSE,0,20201023
2020-10-25,SSE,0,20201023
2020-10-26,SSE,1,20201023
2020-10-27,SSE,1,20201026
2020-10-28,SSE,1,20201027
2020-10-29,SSE,1,20201028
2020-10-30,SSE,1,20201029
2020-10-31,SSE,0,20201030
2020-11-01,SSE,0,20201030
2020-11-02,SSE,1,20201030
2020-11-03,SSE,1,20201102
2020-11-04,SSE,1,20201103
2020-11-05,SSE,1,20201104
2020-11-06,SSE,1,20201105
2020-11-07,SSE,0,20201106
2020-11-08,SSE,0,20201106
2020-11-09,SSE,1,20201106
2020-11-10,SSE,1,20201109
2020-11-11,SSE,1,20201110
2020-11-12,SSE,1,20201111
2020-11-13,SSE,1,20201112
2020-11-14,SSE,0,20201113
2020-11-15,SSE,0,20201113
2020-11-16,SSE,1,20201113
2020-11-17,SSE,1,20201116
2020-11-18,SSE,1,20201117
2020-11-19,SSE,1,20201118
2020-11-20,SSE,1,20201119
2020-11-21,SSE,0,20201120
2020-11-22,SSE,0,20201120
2020-11-23,SSE,1,20201120
2020-11-24,SSE,1,20201123
2020-11-25,SSE,1,20201124
2020-11-26,SSE,1,20201125
2020-11-27,SSE,1,20201126
2020-11-28,SSE,0,20201127
2020-11-29,SSE,0,20201127
2020-11-30,SSE,1,20201127
2020-12-01,SSE,1,20201130
2020-12-02,SSE,1,20201201
2020-12-03,SSE,1,20201202
2020-12-04,SSE,1,20201203
2020-12-05,SSE,0,20201204
2020-12-06,SSE,0,20201204
2020-12-07,SSE,1,20201204
2020-12-08,SSE,1,20201207
2020-12-09,SSE,1,20201208
2020-12-10,SSE,1,20201209
2020-12-11,SSE,1,20201210
2020-12-12,SSE,0,20201211
2020-12-13,SSE,0,20201211
2020-12-14,SSE,1,20201211
2020-12-15,SSE,1,20201214
2020-12-16,SSE,1,20201215
2020-12-17,SSE,1,20201216
2020-12-18,SSE,1,20201217
2020-12-19,SSE,0,20201218
2020-12-20,SSE,0,20201218
2020-12-21,SSE,1,20201218
2020-12-22,SSE,1,20201221
2020-12-23,SSE,1,20201222
2020-12-24,SSE,1,20201223
2020-12-25,SSE,1,20201224
2020-12-26,SSE,0,20201225
2020-12-27,SSE,0,20201225
2020-12-28,SSE,1,20201225
2020-12-29,SSE,1,20201228
2020-12-30,SSE,1,20201229
2020-12-31,SSE,1,20201230
2021-01-01,SSE,0,20201231
2021-01-02,SSE,0,20201231
2021-01-03,SSE,0,20201231
2021-01-04,SSE,1,20201231
2021-01-05,SSE,1,20210104
2021-01-06,SSE,1,20210105
2021-01-07,SSE,1,20210106
2021-01-08,SSE,1,20210107
2021-01-09,SSE,0,20210108
2021-01-10,SSE,0,20210108
2021-01-11,SSE,1,20210108
2021-01-12,SSE,1,20210111
2021-01-13,SSE,1,20210112
2021-01-14,SSE,1,20210113
2021-01-15,SSE,1,20210114
2021-01-16,SSE,0,20210115
2021-01-17,SSE,0,20210115
2021-01-18,SSE,1,20210115
2021-01-19,SSE,1,20210118
2021-01-20,SSE,1,20210119
2021-01-21,SSE,1,20210120
2021-01-22,SSE,1,20210121
2021-01-23,SSE,0,20210122
2021-01-24,SSE,0,20210122
2021-01-25,SSE,1,20210122
2021-01-26,SSE,1,20210125
2021-01-27,SSE,1,20210126
2021-01-28,SSE,1,20210127
2021-01-29,SSE,1,20210128
2021-01-30,SSE,0,20210129
2021-01-31,SSE,0,20210129
2021-02-01,SSE,1,20210129
2021-02-02,SSE,1,20210201
2021-02-03,SSE,1,20210202
2021-02-04,SSE,1,20210203
2021-02-05,SSE,1,20210204
2021-02-06,SSE,0,20210205
2021-02-07,SSE,0,20210205
2021-02-08,SSE,1,20210205
2021-02-09,SSE,1,20210208
2021-02-10,SSE,1,20210209
2021-02-11,SSE,0,20210210
2021-02-12,SSE,0,20210210
2021-02-13,SSE,0,20210210
2021-02-14,SSE,0,20210210
2021-02-15,SSE,0,20210210
2021-02-16,SSE,0,20210210
2021-02-17,SSE,0,20210210
2021-02-18,SSE,1,20210210
2021-02-19,SSE,1,20210218
2021-02-20,SSE,0,20210219
2021-02-21,SSE,0,20210219
